
FACTURACION3

"Nombre del computadora:","FACTURACION3"
"PREFETCHWT1 Instruction","No presente"
"AVX-512 Vector Bit Manipulation Instructions","No presente"
"AVX-512 Vector Bit Manipulation Instructions 2","No presente"
"AVX-512 Galois Fields New Instructions","No presente"
"AVX-512 Vector AES","No presente"
"AVX-512 Vector Neural Network Instructions","No presente"
"AVX-512 Bit Algorithms","No presente"
"AVX-512 Carry-Less Multiplication Quadword (VPCLMULQDQ)","No presente"
"AVX-512 Vector POPCNT (VPOPCNTD/VPOPCNTQ)","No presente"
"User-Mode Instruction Prevention","No presente"
"Protection Keys for User-mode Pages","No presente"
"OS Enabled Protection Keys","No presente"
"Wait and Pause Enhancements (WAITPKG)","No presente"
"Total Memory Encryption","No presente"
"Key Locker","No presente"
"57-bit Linear Addresses, 5-level Paging","No presente"
"Read Processor ID","No presente"
"OS Bus-Lock Detection","No presente"
"Cache Line Demote","No presente"
"MOVDIRI: Direct Stores","No presente"
"MOVDIR64B: Direct Stores","No presente"
"ENQCMD: Enqueue Stores","No presente"
"SGX Launch Configuration","No presente"
"Protection Keys for Supervisor-Mode Pages","No presente"
"Control-Flow Enforcement Technology (CET) Shadow Stack","No presente"
"Attestation Services for Intel SGX","No presente"
"AVX-512 4 x Vector Neural Network Instructions Word Variable Precision","No presente"
"AVX-512 4 x Fused Multiply Accumulation Packed Single Precision","No presente"
"Fast Short REP MOV","No presente"
"User Interrupts","No presente"
"AVX-512 VP2INTERSECT Support","No presente"
"AVX-512 FP16","No presente"
"MD_CLEAR Support","No presente"
"IA32_MCU_OPT_CTRL MSR Support","No presente"
"Restricted Transactional Memory (RTM) Always Abort","No presente"
"Restricted Transactional Memory (RTM) Force Abort","No presente"
"SERIALIZE","No presente"
"Hybrid Processor","No presente"
"TSX Suspend Load Address Tracking","No presente"
"Platform Configuration (PCONFIG)","No presente"
"Architectural LBRs","No presente"
"Indirect Branch Restricted Speculation (IBRS), Indirect Branch Predictor Barrier (IBPB)","Presente"
"Single Thread Indirect Branch Predictors (STIBP)","Presente"
"L1D_FLUSH Support","No presente"
"IA32_ARCH_CAPABILITIES MSR","Presente"
"IA32_CORE_CAPABILITIES MSR","No presente"
"Speculative Store Bypass Disable (SSBD)","No presente"
"Control-Flow Enforcement Technology (CET) Indirect Branch Tracking","No presente"
"Advanced Matrix Extensions (AMX) Tile Architecture","No presente"
"Advanced Matrix Extensions (AMX) bfloat16 Support","No presente"
"Advanced Matrix Extensions (AMX) 8-bit Integer Operations","No presente"
"SHA512 Instructions","No presente"
"SM3 Instructions","No presente"
"SM4 Instructions","No presente"
"Advanced Matrix Extensions (AMX) FP16 Instructions","No presente"
"AVX (VEX-encoded) Vector Neural Network Instructions","No presente"
"AVX-512 BFLOAT16 Instructions","No presente"
"Fast Zero-Length MOVSB","No presente"
"Fast Short STOSB","No presente"
"Fast Short CMPSB, SCASB","No presente"
"History Reset","No presente"
"Linear Address Masking","No presente"
"Linear Address Space Separation","No presente"
"RAO-INT Instructions","No presente"
"CMPccXADD Instructions","No presente"
"Flexible Return and Event Delivery (FRED)","No presente"
"LKGS Instruction","No presente"
"WRMSRNS Instruction","No presente"
"NMI-source Reporting","No presente"
"AVX-IFMA Instructions","No presente"
"RD/WR MSRLIST Instructions","No presente"
"INVD Execution Prevention After BIOS-Done","No presente"
"Protected Processor Inventory Number (IA32_PPIN) Support","No presente"
"PBNDKB Instruction","No presente"
"AVX-VNNI-INT8 Instructions","No presente"
"AVX-VNNI-INT16 Instructions","No presente"
"AVX-NE-CONVERT Instructions","No presente"
"PREFETCHIT0/1 Instructions","No presente"
"URDMSR/UWRMSR Instructions","No presente"
"AMX-COMPLEX Instructions","No presente"
"CET Supervisor Shadow-Stack","No presente"
"UIRET Support","No presente"
"Advanced Vector Extensions 10 (AVX10)","No presente"
"Advanced Performance Extensions (APX) Foundation","No presente"
"Not Exhibiting MXCSR Configuration Dependent Timing (MCDT)","No presente"
"UC-Lock Disable Feature","No presente"
"Rogue Data Cache Load (RDCL):","Not Susceptible"
"Speculative Store Bypass (SSB):","Not Susceptible"
"Microarchitectural Data Sampling (MDS):","Susceptible"
"MCE on modifying code page size without TLB invalidation:","Susceptible"
"Transactional Asynchronous Abort (TAA):","Affected"
"Shared Buffers Data Read (SBDR), Sideband Stale Data Propagator (SSDP) Vulnerability:","Affected"
"Fill Buffer Stale Data Propagator (FBSDP) Vulnerability:","Affected"
"Primary Stale Data Propagator (PSDP) Vulnerability:","Affected"
"Post-barrier Return Stack Buffer Predictions Vulnerability:","Affected"
"Indirect Branch Restriction Speculation (IBRS):","No soportado"
"RTM_DISABLE and TSX_CPUID_CLEAR:","No soportado"
"RSB Alternate:","No soportado"
"L1D Flush on VM Entry Not Needed:","Soportado"
"Data Operand Independent Timing Mode (DOITM):","No soportado"
"Control de filtrado de energía:","No soportado"
"Data Operand Independent Timing Mode:","No soportado"
"RRSBA Alternate Prediction Behavior:","No soportado"
"BHI_NO Branch Prediction Behavior:","No soportado"
"MCU Enumeration MSR:","No soportado"
"MCU Extended Servicing:","No soportado"
"Thermal Monitor 1:","Soportado, Activado"
"Thermal Monitor 2:","Soportado, Activado"
"Enhanced Intel SpeedStep (GV3):","Soportado, Activado"
"Bi-directional PROCHOT#:","Activado"
"Extended Auto-HALT State C1E:","Activado"
"MLC Streamer Prefetcher","Soportado, Activado"
"MLC Spatial Prefetcher","Soportado, Activado"
"DCU Streamer Prefetcher","Soportado, Activado"
"DCU IP Prefetcher","Soportado, Activado"
"Intel Dynamic Acceleration (IDA) Technology:","No soportado"
"Intel Dynamic FSB Switching:","No soportado"
"Intel Turbo Boost Technology:","Soportado, Activado"
"Programmable Ratio Limits:","Soportado, Deshabilitado"
"Programmable TDC/TDP Limits:","Soportado, Deshabilitado"
"Hardware Duty Cycling:","No soportado"
"Intel Speed Select:","No soportado"
"VT-d:","Soportado"
"DPTF (Camarillo):","Soportado"
"Internal Graphics:","Soportado"
"Imaging Unit:","Soportado"
"Shared Virtual Memory:","Soportado"
"Tamaño máximo de dirección física:","39-bit (512 GBytes)"
"Tamaño máximo de dirección virtual:","48-bit (256 TBytes)"
"Range 0-80000000 (0MB-2048MB) Type:","Write Back (WB)"
"Range 7C000000-80000000 (1984MB-2048MB) Type:","Uncacheable (UC)"
"Range 7B000000-7C000000 (1968MB-1984MB) Type:","Uncacheable (UC)"
"Range 100000000-200000000 (4096MB-8192MB) Type:","Write Back (WB)"
"Range 200000000-280000000 (8192MB-10240MB) Type:","Write Back (WB)"
"Range FF800000-100000000 (4088MB-4096MB) Type:","Write Combining (WC)"

Tarjeta madre

"Nombre de marca de computadora:","LENOVO F0CL006ULD"
"Modelo de placa base:","LENOVO 0x36C4"
"Chipset de la placa base:",""
"Ranuras para placa base:","4xPCI Express x1, 1xPCI Express x2, 1xPCI Express x16"
"Versión de PCI Express admitida:","v2.0"
"Versión USB admitida:","v3.0"
"Fabricante de BIOS:","LENOVO"
"Fecha de BIOS (mm/dd/yyyy):","07/07/2017"
"Versión de BIOS:","O39KT34A"
"UEFI BIOS:","Capaz"
"Chip Super-IO / LPC:","ITE IT8738"
"Chip del módulo de plataforma segura (TPM):","Hardware TPM, version 2.0"

Dispositivos ACPI


Intel(R) Serial IO GPIO Host Controller - INT3452

"Nombre del dispositivo:","Intel(R) Serial IO GPIO Host Controller - INT3452"
"Ubicación de la memoria:","D0C50000 - D0C5076B"
"Ubicación de la memoria:","D0C50000 - D0C5076B"
"IRQ:","14"

Intel(R) Serial IO GPIO Host Controller - INT3452

"Nombre del dispositivo:","Intel(R) Serial IO GPIO Host Controller - INT3452"
"Ubicación de la memoria:","D0C40000 - D0C40763"
"Ubicación de la memoria:","D0C40000 - D0C40763"
"IRQ:","14"

Intel(R) Serial IO GPIO Host Controller - INT3452

"Nombre del dispositivo:","Intel(R) Serial IO GPIO Host Controller - INT3452"
"Ubicación de la memoria:","D0C70000 - D0C70673"
"Ubicación de la memoria:","D0C70000 - D0C70673"
"IRQ:","14"

Intel(R) Serial IO GPIO Host Controller - INT3452

"Nombre del dispositivo:","Intel(R) Serial IO GPIO Host Controller - INT3452"
"Ubicación de la memoria:","D0C00000 - D0C00653"
"Ubicación de la memoria:","D0C00000 - D0C00653"
"IRQ:","14"

Trusted Platform Module 2.0

"Nombre del dispositivo:","Trusted Platform Module 2.0"
"Ubicación de la memoria:","FED40000 - FED4087F"
"Ubicación de la memoria:","FED40000 - FED4087F"

Programmable interrupt controller

"Nombre del dispositivo:","Programmable interrupt controller"
"I/O Port:","0020 - 0021"
"I/O Port:","0030 - 0031"
"I/O Port:","00A0 - 00A1"
"I/O Port:","00B0 - 00B1"
"IRQ:","1114369"
"IRQ:","1114369"
"IRQ:","1114369"
"IRQ:","1114369"
"I/O Port:","0020 - 0021"
"I/O Port:","0024 - 0025"
"I/O Port:","0028 - 0029"
"I/O Port:","002C - 002D"
"I/O Port:","0030 - 0031"
"I/O Port:","0034 - 0035"
"I/O Port:","0038 - 0039"
"I/O Port:","003C - 003D"
"I/O Port:","00A0 - 00A1"
"I/O Port:","00A4 - 00A5"
"I/O Port:","00A8 - 00A9"
"I/O Port:","00AC - 00AD"
"I/O Port:","00B0 - 00B1"
"I/O Port:","00B4 - 00B5"
"I/O Port:","00B8 - 00B9"
"I/O Port:","00BC - 00BD"
"I/O Port:","04D0 - 04D1"

System timer

"Nombre del dispositivo:","System timer"
"I/O Port:","0040 - 0043"
"DMA:","0"
"I/O Port:","0040 - 0043"
"I/O Port:","0050 - 0053"
"IRQ:","0"

High precision event timer

"Nombre del dispositivo:","High precision event timer"
"Ubicación de la memoria:","FED00000 - FED003FF"
"Ubicación de la memoria:","FED00000 - FED003FF"
"IRQ:","8"

PCI Express Root Complex

"Nombre del dispositivo:","PCI Express Root Complex"
"I/O Port:","0000 - FFFFFFFF"
"I/O Port:","0D00 - FFFF"
"I/O Port:","0000 - FFFFFFFF"
"Ubicación de la memoria:","7B800001 - 7B800000"
"I/O Port:","0000 - 006F"
"I/O Port:","0078 - 0CF7"
"I/O Port:","0D00 - FFFF"
"Ubicación de la memoria:","7C000001 - 7FFFFFFF"
"Ubicación de la memoria:","7B800001 - 7BFFFFFF"
"Ubicación de la memoria:","80000000 - CFFFFFFF"
"Ubicación de la memoria:","E0000000 - EFFFFFFF"

System CMOS/real time clock

"Nombre del dispositivo:","System CMOS/real time clock"
"I/O Port:","0070 - 0077"
"I/O Port:","0070 - 0077"

Motherboard resources

"Nombre del dispositivo:","Motherboard resources"
"I/O Port:","0A00 - 0A0F"
"I/O Port:","0A40 - 0A4F"
"I/O Port:","0A80 - 0A8F"
"I/O Port:","0A00 - 0A0F"
"I/O Port:","0A10 - 0A1F"
"I/O Port:","0A20 - 0A2F"
"I/O Port:","0A30 - 0A3F"
"I/O Port:","0A40 - 0A4F"
"I/O Port:","0A50 - 0A5F"
"I/O Port:","0A60 - 0A6F"
"I/O Port:","0A70 - 0A7F"
"I/O Port:","0A80 - 0A8F"
"I/O Port:","0A90 - 0B8E"
"I/O Port:","0AA0 - 0AAF"
"I/O Port:","0AB0 - 0ABF"
"I/O Port:","0AC0 - 0ACF"
"I/O Port:","0AD0 - 0ADF"
"I/O Port:","0AE0 - 0AEF"

Motherboard resources

"Nombre del dispositivo:","Motherboard resources"
"Ubicación de la memoria:","E0000000 - EFFFFFFF"
"Ubicación de la memoria:","FED06000 - FED06FFF"
"Ubicación de la memoria:","E0000000 - EFFFFFFF"
"Ubicación de la memoria:","FEA00000 - FEAFFFFF"
"Ubicación de la memoria:","FED01000 - FED01FFF"
"Ubicación de la memoria:","FED03000 - FED03FFF"
"Ubicación de la memoria:","FED06000 - FED06FFF"
"Ubicación de la memoria:","FED08000 - FED09FFF"
"Ubicación de la memoria:","FED80000 - FEDBFFFF"
"Ubicación de la memoria:","FED1C000 - FED1CFFF"
"Ubicación de la memoria:","FEE00000 - FEEFFFFF"

Motherboard resources

"Nombre del dispositivo:","Motherboard resources"
"I/O Port:","002E - 002F"
"I/O Port:","0065"
"I/O Port:","0000 - 006F"
"I/O Port:","0092"
"IRQ:","1114369"
"IRQ:","1114369"
"I/O Port:","002E - 002F"
"I/O Port:","004E - 004F"
"I/O Port:","0061"
"I/O Port:","0063"
"I/O Port:","0065"
"I/O Port:","0067"
"I/O Port:","0070"
"I/O Port:","0080 - 008F"
"I/O Port:","0092"
"I/O Port:","00B2 - 00B3"
"I/O Port:","0680 - 069F"
"I/O Port:","0400 - 047F"
"I/O Port:","0500 - 05FE"
"I/O Port:","0600 - 061F"
"I/O Port:","164E - 164F"

SMBIOS DMI


BIOS

"Fabricante de BIOS:","LENOVO"
"Versión de BIOS:","O39KT34A"
"Fecha de lanzamiento del BIOS (mm/dd/yyyy):","07/07/2017"
"Segmento de inicio de BIOS:","F000"
"Tamaño de la BIOS:","5120 KBytes"
"Versión del BIOS del sistema:","1.34"
"Versión del firmware del Embedded Controller:","1.22"
"ISA Support:","No presente"
"MCA Support:","No presente"
"EISA Support:","No presente"
"PCI Support:","Presente"
"PC Card (PCMCIA) Support:","No presente"
"Plug-and-Play Support:","No presente"
"APM Support:","No presente"
"Flash BIOS:","Presente"
"BIOS Shadow:","Presente"
"VL-VESA Support:","No presente"
"ESCD Support:","No presente"
"Boot from CD:","Presente"
"Selectable Boot:","Presente"
"BIOS ROM Socketed:","Presente"
"Boot from PC Card:","No presente"
"EDD Support:","Presente"
"NEC PC-98 Support:","No presente"
"ACPI Support:","Presente"
"USB Legacy Support:","Presente"
"AGP Support:","No presente"
"I2O Boot Support:","No presente"
"LS-120 Boot Support:","No presente"
"ATAPI ZIP Drive Boot Support:","No presente"
"IEE1394 Boot Support:","No presente"
"Smart Battery Support:","No presente"
"BIOS Boot Specification Support:","Presente"
"Function key-initiated Network Service Boot Support:","No presente"
"Targeted Content Distribution Support:","Presente"
"UEFI Specification Support:","Presente"
"Virtual Machine:","No presente"

Sistema

"Fabricante del sistema:","LENOVO"
"Nombre del producto:","F0CL006ULD"
"Version del producto:","ideacentre AIO 310-20IAP"
"Número de serie del producto:","YJ00B203"
"UUID:","{7294F480-DC6D-11E7-9C2A-E0153FA82C00}"
"SKU Number:","LENOVO_MT_F0CL_BU_LENOVO_FM_ideacentre AIO 310-20IAP"
"Family:","ideacentre AIO 310-20IAP"

tarjeta madre

"Fabricante de la placa base:","LENOVO"
"Nombre de la placa base:","0x36C4"
"Versión de la placa base:","SDK0J40679 WIN 3273059835310"
"Número de serie de la placa base:",""
"Asset Tag:","                         "
"Ubicación en el chasis de la:",""

Caja del sistema

"Fabricante:",""
"Tipo de caja:","All in One"
"Versión:",""
"Número de serie:","YJ00B203"
"Asset Tag Number:"," "

Cadenas de texto OEM






Opciones de configuración del sistema



Hardware Security

"Power-on Password:","Deshabilitado"
"Keyboard Password:","Activado"
"Administrator Password:","Deshabilitado"
"Front Panel Reset:","Not implemented"

Información de arranque del sistema

"Estado de arranque:","No ocurrió ningún error"

CPU Interno L1

"Designación de enchufe:","CPU Internal L1"
"Estado de caché:","Activado"
"Ubicación de la caché:","Interno"
"Tipo de caché:","L1"
"Esquema de caché:","Write-Back"
"Tipo de SRAM admitido:","Synchronous"
"Tipo de SRAM actual:","Synchronous"
"Velocidad de caché:","Unknown"
"Tipo de corrección de errores:","Parity"
"Tamaño máximo de caché:","224 KBytes"
"Tamaño de caché instalado:","224 KBytes"
"Asociatividad de caché:","Unknown"

CPU Interno L2

"Designación de enchufe:","CPU Internal L2"
"Estado de caché:","Activado"
"Ubicación de la caché:","Interno"
"Tipo de caché:","L2 Unified"
"Esquema de caché:","Write-Back"
"Tipo de SRAM admitido:","Synchronous"
"Tipo de SRAM actual:","Synchronous"
"Velocidad de caché:","Unknown"
"Tipo de corrección de errores:","Single-bit ECC"
"Tamaño máximo de caché:","2048 KBytes"
"Tamaño de caché instalado:","2048 KBytes"
"Asociatividad de caché:","16-way Set-Associative"

Procesador

"Fabricante del procesador:","Intel"
"Processor Version:","Intel(R) Pentium(R) CPU J4205 @ 1.50GHz"
"Frecuencia externa:","100 MHz"
"Frecuencia máxima admitida:","2400 MHz"
"Frecuencia actual:","1500 MHz"
"Zócalo de CPU:","Poblada"
"Estado de la CPU:","Activado"
"Tipo de procesador:","Procesador central"
"Voltaje del procesador:","1.2 V"
"Actualización del procesador:","Unknown (1)"
"Designación de enchufe:","SOCKET 0"

NIC


Idioma del BIOS




Dispositivos de memoria


Memory Device Mapped Address

"Dirección inicial:","00000000"
"Dirección final:","007FFFFF"
"Partition Row Position:","Desconocido"
"Interleave Position:","Non-interleaved"
"Interleave Data Depth:","0"

Matriz de memoria física

"Ubicación de la matriz:","System board"
"Uso de matriz:","System memory"
"Método de detección de errores:","Ninguna"
"Capacidad de memoria:","8 GBytes"
"Dispositivos de memoria:","1"

Dispositivo de memoria

"Ancho total:","64 bits"
"Ancho de datos:","64 bits"
"Tamaño del dispositivo:","8192 MBytes"
"Factor de forma del dispositivo:","SODIMM"
"Localizador de dispositivos:","ChannelA-DIMM0"
"Bank Locator:","BANK 0"
"Tipo de dispositivo:","DDR3 SDRAM"
"Detalle del tipo de dispositivo:","Synchronous"
"Velocidad de memoria:","1600 MHz"
"Fabricante:","Samsung"
"Número de serie:","20FAEAD3"
"Número de parte:","M471B1G73EB0-YK0  "
"Asset Tag:","9876543210"

Memory Array Mapped Address

"Dirección inicial:","00000000"
"Dirección final:","007FFFFF"
"Ancho de partición:","2"

Ranuras del sistema


J6B2

"Designación de la ranura:","J6B2"
"Tipo de ranura:","PCI Express"
"Uso de la ranura:","En uso"
"Ancho del bus de datos de la ranura:","16x / x16"
"Longitud de la ranura:","Largo"
"Base Bus:Device:Function Number:","0:1:0"

J6B1

"Designación de la ranura:","J6B1"
"Tipo de ranura:","PCI Express"
"Uso de la ranura:","En uso"
"Ancho del bus de datos de la ranura:","1x / x1"
"Longitud de la ranura:","Corto"
"Base Bus:Device:Function Number:","0:28:3"

J6D1

"Designación de la ranura:","J6D1"
"Tipo de ranura:","PCI Express"
"Uso de la ranura:","En uso"
"Ancho del bus de datos de la ranura:","1x / x1"
"Longitud de la ranura:","Corto"
"Base Bus:Device:Function Number:","0:28:4"

J7B1

"Designación de la ranura:","J7B1"
"Tipo de ranura:","PCI Express"
"Uso de la ranura:","En uso"
"Ancho del bus de datos de la ranura:","1x / x1"
"Longitud de la ranura:","Corto"
"Base Bus:Device:Function Number:","0:28:5"

J8B4

"Designación de la ranura:","J8B4"
"Tipo de ranura:","PCI Express"
"Uso de la ranura:","En uso"
"Ancho del bus de datos de la ranura:","1x / x1"
"Longitud de la ranura:","Corto"
"Base Bus:Device:Function Number:","0:28:6"

Memoria

"Tamaño de memoria total:","8 GBytes"
"Total Memory Size [MB]:","8192"
"Frecuencia de memoria máxima admitida:","1200.0 MHz"
"Frecuencia de memoria actual:","800.0 MHz"
"Sincronización actual (tCAS-tRCD-tRP-tRAS):","11-11-11-28"
"Canales de memoria compatibles:","2"
"Canales de memoria activos:","1"
"Tasa de comando (CR):","1T"
"Read to Read Delay (tRDRD_SG/TrdrdScL) Same Bank Group:","4T"
"Read to Read Delay (tRDRD_DG/TrdrdScDlr) Different Bank Group:","6T"
"Write to Write Delay (tWRWR_SG/TwrwrScL) Same Bank Group:","4T"
"Write to Write Delay (tWRWR_DG/TwrwrScDlr) Different Bank Group:","6T"
"Read to Write Delay (tRDWR_SG/TrdwrScL) Same Bank Group:","10T"
"Read to Write Delay (tRDWR_DG/TrdwrScDlr) Different Bank Group:","10T"
"Write to Read Delay (tWRRD_SG/TwrrdScL) Same Bank Group:","20T"
"Write to Read Delay (tWRRD_DG/TwrrdScDlr) Different Bank Group:","3T"
"Read to Precharge Delay (tRTP):","6T"
"Write to Precharge Delay (tWTP):","24T"
"Write Recovery Time (tWR):","13T"
"RAS# to RAS# Delay (tRRD):","6T"
"Row Cycle Time (tRC):","39T"
"Four Activate Window (tFAW):","24T"

Hilera: 0 [BANK 0/ChannelA-DIMM0] - 8 GB PC3-12800 DDR3 SDRAM Samsung M471B1G73EB0-YK0

"Número de módulo:","0"
"Tamaño del módulo:","8 GBytes"
"Tipo de memoria:","DDR3 SDRAM"
"Tipo de módulo:","SO-DIMM"
"Velocidad de memoria:","800.0 MHz (DDR3-1600 / PC3-12800)"
"Fabricante del módulo:","Samsung"
"Número de pieza del módulo:","M471B1G73EB0-YK0"
"Revisión del módulo:","0"
"Número de serie del módulo:","3555392032 (20FAEAD3)"
"Fecha de fabricación del módulo:","Año: 2017, Semana: 44"
"Ubicación de fabricación del módulo:","3"
"Fabricante de SDRAM:","Samsung"
"Verificación / corrección de errores:","Ninguna"
"Bits de dirección de fila:","16"
"Bits de dirección de columna:","10"
"Number Of Banks:","8"
"Densidad del módulo:","4096 Mb"
"Número de rangos:","2"
"Ancho del dispositivo:","8 bits"
"Bus Width:","64 bits"
"Voltaje nominal del módulo (VDD):","1.5 V, 1.35 V"
"Minimum SDRAM Cycle Time (tCKmin):","1.250 ns"
"Latencias de CAS # admitidas:","5, 6, 7, 8, 9, 10, 11"
"Tiempo de latencia mínimo CAS # (tAAmin):","13.125 ns"
"Mínimo RAS # a CAS # Retardo (tRCDmin):","13.125 ns"
"Minimum Row Precharge Time (tRPmin):","13.125 ns"
"Minimum Active to Precharge Time (tRASmin):","35.000 ns"
