
ENFERM-CALERA

"Nombre del computadora:","ENFERM-CALERA"
"POPCNT Instruction","Presente"
"XSAVE/XRSTOR/XSETBV/XGETBV Instructions","Presente"
"XGETBV/XSETBV OS Enabled","Presente"
"Float16 Instructions","Presente"
"AES Cryptography Support","Presente"
"Random Number Read Instruction (RDRAND)","Presente"
"Extended xAPIC","Presente"
"MONITOR/MWAIT Support","Presente"
"Thermal Monitor 2","Presente"
"Enhanced SpeedStep Technology","Presente"
"L1 Context ID","No presente"
"Send Task Priority Messages Disabling","Presente"
"Processor Context ID","Presente"
"Direct Cache Access","No presente"
"TSC-deadline Timer","Presente"
"Performance/Debug Capability MSR","Presente"
"IA32 Debug Interface Support","No presente"
"64-Bit Debug Store","Presente"
"CPL Qualified Debug Store","Presente"
"64-bit Extensions","Presente"
"RDTSCP and TSC_AUX Support","Presente"
"1 GB large page support","No presente"
"No Execute","Presente"
"SYSCALL/SYSRET Support","Presente"
"Bit Manipulation Instructions Set 1","No presente"
"Bit Manipulation Instructions Set 2","No presente"
"Advanced Vector Extensions 2 (AVX2)","No presente"
"Advanced Vector Extensions 512 (AVX-512) Foundation","No presente"
"AVX-512 Prefetch Instructions","No presente"
"AVX-512 Exponential and Reciprocal Instructions","No presente"
"AVX-512 Conflict Detection Instructions","No presente"
"AVX-512 Doubleword and Quadword Instructions","No presente"
"AVX-512 Byte and Word Instructions","No presente"
"AVX-512 Vector Length Extensions","No presente"
"AVX-512 52-bit Integer FMA Instructions","No presente"
"Secure Hash Algorithm (SHA) Extensions","No presente"
"Software Guard Extensions (SGX) Support","No presente"
"Supervisor Mode Execution Protection (SMEP)","Presente"
"Supervisor Mode Access Prevention (SMAP)","No presente"
"Hardware Lock Elision (HLE)","No presente"
"Restricted Transactional Memory (RTM)","No presente"
"Memory Protection Extensions (MPX)","No presente"
"Read/Write FS/GS Base Instructions","Presente"
"Enhanced Performance String Instruction","Presente"
"INVPCID Instruction","No presente"
"RDSEED Instruction","No presente"
"Multi-precision Add Carry Instructions (ADX)","No presente"
"PCOMMIT Instructions","No presente"
"CLFLUSHOPT Instructions","No presente"
"CLWB Instructions","No presente"
"TSC_THREAD_OFFSET","No presente"
"Platform Quality of Service Monitoring (PQM)","No presente"
"Platform Quality of Service Enforcement (PQE)","No presente"
"FPU Data Pointer updated only on x87 Exceptions","No presente"
"Deprecated FPU CS and FPU DS","No presente"
"Intel Processor Trace","No presente"
"PREFETCHWT1 Instruction","No presente"
"AVX-512 Vector Bit Manipulation Instructions","No presente"
"AVX-512 Vector Bit Manipulation Instructions 2","No presente"
"AVX-512 Galois Fields New Instructions","No presente"
"AVX-512 Vector AES","No presente"
"AVX-512 Vector Neural Network Instructions","No presente"
"AVX-512 Bit Algorithms","No presente"
"AVX-512 Carry-Less Multiplication Quadword (VPCLMULQDQ)","No presente"
"AVX-512 Vector POPCNT (VPOPCNTD/VPOPCNTQ)","No presente"
"User-Mode Instruction Prevention","No presente"
"Protection Keys for User-mode Pages","No presente"
"OS Enabled Protection Keys","No presente"
"Wait and Pause Enhancements (WAITPKG)","No presente"
"Total Memory Encryption","No presente"
"Key Locker","No presente"
"57-bit Linear Addresses, 5-level Paging","No presente"
"Read Processor ID","No presente"
"OS Bus-Lock Detection","No presente"
"Cache Line Demote","No presente"
"MOVDIRI: Direct Stores","No presente"
"MOVDIR64B: Direct Stores","No presente"
"ENQCMD: Enqueue Stores","No presente"
"SGX Launch Configuration","No presente"
"Protection Keys for Supervisor-Mode Pages","No presente"
"Control-Flow Enforcement Technology (CET) Shadow Stack","No presente"
"Attestation Services for Intel SGX","No presente"
"AVX-512 4 x Vector Neural Network Instructions Word Variable Precision","No presente"
"AVX-512 4 x Fused Multiply Accumulation Packed Single Precision","No presente"
"Fast Short REP MOV","No presente"
"User Interrupts","No presente"
"AVX-512 VP2INTERSECT Support","No presente"
"AVX-512 FP16","No presente"
"MD_CLEAR Support","Presente"
"IA32_MCU_OPT_CTRL MSR Support","No presente"
"Restricted Transactional Memory (RTM) Always Abort","No presente"
"Restricted Transactional Memory (RTM) Force Abort","No presente"
"SERIALIZE","No presente"
"Hybrid Processor","No presente"
"TSX Suspend Load Address Tracking","No presente"
"Platform Configuration (PCONFIG)","No presente"
"Architectural LBRs","No presente"
"Indirect Branch Restricted Speculation (IBRS), Indirect Branch Predictor Barrier (IBPB)","Presente"
"Single Thread Indirect Branch Predictors (STIBP)","Presente"
"L1D_FLUSH Support","Presente"
"IA32_ARCH_CAPABILITIES MSR","No presente"
"IA32_CORE_CAPABILITIES MSR","No presente"
"Speculative Store Bypass Disable (SSBD)","Presente"
"Control-Flow Enforcement Technology (CET) Indirect Branch Tracking","No presente"
"Advanced Matrix Extensions (AMX) Tile Architecture","No presente"
"Advanced Matrix Extensions (AMX) bfloat16 Support","No presente"
"Advanced Matrix Extensions (AMX) 8-bit Integer Operations","No presente"
"SHA512 Instructions","No presente"
"SM3 Instructions","No presente"
"SM4 Instructions","No presente"
"Advanced Matrix Extensions (AMX) FP16 Instructions","No presente"
"AVX (VEX-encoded) Vector Neural Network Instructions","No presente"
"AVX-512 BFLOAT16 Instructions","No presente"
"Fast Zero-Length MOVSB","No presente"
"Fast Short STOSB","No presente"
"Fast Short CMPSB, SCASB","No presente"
"History Reset","No presente"
"Linear Address Masking","No presente"
"Linear Address Space Separation","No presente"
"RAO-INT Instructions","No presente"
"CMPccXADD Instructions","No presente"
"Flexible Return and Event Delivery (FRED)","No presente"
"LKGS Instruction","No presente"
"WRMSRNS Instruction","No presente"
"NMI-source Reporting","No presente"
"AVX-IFMA Instructions","No presente"
"RD/WR MSRLIST Instructions","No presente"
"INVD Execution Prevention After BIOS-Done","No presente"
"Protected Processor Inventory Number (IA32_PPIN) Support","No presente"
"PBNDKB Instruction","No presente"
"AVX-VNNI-INT8 Instructions","No presente"
"AVX-VNNI-INT16 Instructions","No presente"
"AVX-NE-CONVERT Instructions","No presente"
"PREFETCHIT0/1 Instructions","No presente"
"URDMSR/UWRMSR Instructions","No presente"
"AMX-COMPLEX Instructions","No presente"
"CET Supervisor Shadow-Stack","No presente"
"UIRET Support","No presente"
"Advanced Vector Extensions 10 (AVX10)","No presente"
"Advanced Performance Extensions (APX) Foundation","No presente"
"Not Exhibiting MXCSR Configuration Dependent Timing (MCDT)","No presente"
"UC-Lock Disable Feature","No presente"
"Thermal Monitor 1:","Soportado, Activado"
"Thermal Monitor 2:","Soportado, Activado"
"Enhanced Intel SpeedStep (GV3):","Soportado, Activado"
"Bi-directional PROCHOT#:","Activado"
"Extended Auto-HALT State C1E:","Activado"
"MLC Streamer Prefetcher","Soportado, Activado"
"MLC Spatial Prefetcher","Soportado, Activado"
"DCU Streamer Prefetcher","Soportado, Activado"
"DCU IP Prefetcher","Soportado, Activado"
"Intel Dynamic Acceleration (IDA) Technology:","No soportado"
"Intel Dynamic FSB Switching:","No soportado"
"Intel Turbo Boost Technology:","Soportado, Activado"
"Programmable Ratio Limits:","No soportado"
"Programmable TDC/TDP Limits:","Soportado, Deshabilitado"
"Hardware Duty Cycling:","No soportado"
"Intel Speed Select:","No soportado"
"Internal Graphics:","Soportado"
"PEG Gen2 (5.0 GT/s):","Soportado"
"DMI Gen2 (5.0 GT/s):","Soportado"
"DMI Width:","x2"
"VT-d:","Soportado"
"ECC:","No soportado"
"DDR Overclocking:","No soportado"
"IA Overclocking:","No soportado"
"On-die DDR Write Vref Generation:","Soportado"
"DDR3L:","No soportado"
"DDR Write Vref:","Soportado"
"Dual Channel:","Soportado"
"2 DIMMS per Channel:","No soportado"
"Camarillo Device:","No soportado"
"Full ULT Information:","Soportado"
"DDR 1N Mode Timings:","Soportado"
"PEG x16 Port:","Soportado"
"Link width upconfig:","Soportado"
"Soporte de frecuencia DDR3 (133 MHz RefClk):","800 MHz (DDR3-1600)"
"Soporte de frecuencia DDR3 (RefClk de 100 MHz):","800 MHz (DDR3-1600)"
"Memory Size per Channel:","Unlimited (16GB)"
"Gráficos aditivos:","Soportado"
"Gráficos aditivos:","Deshabilitado"
"PAVP:","Activado"
"HDCP:","Soportado"
"PCIe Gen 3:","Soportado"
"Soft Bin:","No soportado"
"SMT:","No soportado"
"Tamaño máximo de dirección física:","36-bit (64 GBytes)"
"Tamaño máximo de dirección virtual:","48-bit (256 TBytes)"
"Range 0-100000000 (0MB-4096MB) Type:","Write Back (WB)"
"Range 100000000-120000000 (4096MB-4608MB) Type:","Write Back (WB)"
"Range E0000000-100000000 (3584MB-4096MB) Type:","Uncacheable (UC)"
"Range DC000000-E0000000 (3520MB-3584MB) Type:","Uncacheable (UC)"
"Range DB000000-DC000000 (3504MB-3520MB) Type:","Uncacheable (UC)"
"Range 11FE00000-120000000 (4606MB-4608MB) Type:","Uncacheable (UC)"

Tarjeta madre

"Nombre de marca de computadora:","Hewlett-Packard HP Compaq Pro 4300 SFF PC"
"Modelo de placa base:","Hewlett-Packard 2ADE"
"Chipset de la placa base:","Intel H61 (Cougar Point)"
"Ranuras para placa base:","2xPCI, 3xPCI Express x1, 1xPCI Express x16"
"Versión de PCI Express admitida:","v3.0"
"Versión USB admitida:","v2.0"
"USB Port Count:","10 ports"
"RAID Capability:","No soportado"
"SATA Ports 2 and 3:","No soportado"
"SATA Port 1 6 Gb/s:","No soportado"
"SATA Port 0 6 Gb/s:","No soportado"
"PCI Interface:","No soportado"
"PCI Express Ports 5 and 6:","Soportado"
"USB Redirect (USBr):","No soportado"
"Intel Anti-Theft Technology:","Soportado"
"PCI Express Ports 7 and 8:","No soportado"
"PCH Integrated Graphics Support:","Soportado"
"Data Center Manageability Interface (DCMI):","Soportado"
"Node Manager:","Soportado"
"Fabricante de BIOS:","American Megatrends"
"Fecha de BIOS (mm/dd/yyyy):","03/08/2013"
"Versión de BIOS:","8.11"
"UEFI BIOS:","Capaz"
"Chip Super-IO / LPC:","Nuvoton NPCD379HAKFX"
"Chip del módulo de plataforma segura (TPM):","Not Found"

Dispositivos ACPI


Legacy device

"Nombre del dispositivo:","Legacy device"
"Ubicación de la memoria:","FF000000 - FFFFFFFF"
"Ubicación de la memoria:","FF000000 - FFFFFFFF"

Motherboard resources

"Nombre del dispositivo:","Motherboard resources"
"I/O Port:","0454 - 0457"
"I/O Port:","0454 - 0457"

Programmable interrupt controller

"Nombre del dispositivo:","Programmable interrupt controller"
"I/O Port:","0020 - 0021"
"I/O Port:","0030 - 0031"
"I/O Port:","00A0 - 00A1"
"I/O Port:","00B0 - 00B1"
"IRQ:","1114369"
"IRQ:","1114369"
"IRQ:","1114369"
"IRQ:","1114369"
"I/O Port:","0020 - 0021"
"I/O Port:","0024 - 0025"
"I/O Port:","0028 - 0029"
"I/O Port:","002C - 002D"
"I/O Port:","0030 - 0031"
"I/O Port:","0034 - 0035"
"I/O Port:","0038 - 0039"
"I/O Port:","003C - 003D"
"I/O Port:","00A0 - 00A1"
"I/O Port:","00A4 - 00A5"
"I/O Port:","00A8 - 00A9"
"I/O Port:","00AC - 00AD"
"I/O Port:","00B0 - 00B1"
"I/O Port:","00B4 - 00B5"
"I/O Port:","00B8 - 00B9"
"I/O Port:","00BC - 00BD"
"I/O Port:","04D0 - 04D1"

System timer

"Nombre del dispositivo:","System timer"
"I/O Port:","0040 - 0043"
"DMA:","0"
"I/O Port:","0040 - 0043"
"I/O Port:","0050 - 0053"
"IRQ:","0"

High precision event timer

"Nombre del dispositivo:","High precision event timer"
"Ubicación de la memoria:","FED00000 - FED003FF"
"Ubicación de la memoria:","FED00000 - FED003FF"

Direct memory access controller

"Nombre del dispositivo:","Direct memory access controller"
"I/O Port:","0000 - 001F"
"I/O Port:","0000 - 001F"
"I/O Port:","0081 - 0091"
"I/O Port:","0093 - 009F"
"I/O Port:","00C0 - 00DF"
"DMA:","4"

Puerto de comunicaciones

"Nombre del dispositivo:","Puerto de comunicaciones"
"I/O Port:","03F8 - 03FF"
"I/O Port:","03F8 - 03FF"
"IRQ:","4"
"I/O Port:","03F8 - 03FF"
"IRQ:","3"
"I/O Port:","02F8 - 02FF"
"IRQ:","4"
"I/O Port:","02F8 - 02FF"
"IRQ:","3"
"I/O Port:","03E8 - 03EF"
"IRQ:","4"
"I/O Port:","03E8 - 03EF"
"IRQ:","3"
"I/O Port:","02E8 - 02EF"
"IRQ:","4"
"I/O Port:","02E8 - 02EF"
"IRQ:","3"
"I/O Port:","03F8 - 03FF"
"IRQ:","10"
"I/O Port:","03F8 - 03FF"
"IRQ:","5"
"I/O Port:","02F8 - 02FF"
"IRQ:","10"
"I/O Port:","02F8 - 02FF"
"IRQ:","5"
"I/O Port:","03E8 - 03EF"
"IRQ:","10"
"I/O Port:","03E8 - 03EF"
"IRQ:","5"
"I/O Port:","02E8 - 02EF"
"IRQ:","10"
"I/O Port:","02E8 - 02EF"
"IRQ:","5"

PCI Express Root Complex

"Nombre del dispositivo:","PCI Express Root Complex"
"I/O Port:","0000 - FFFFFFFF"
"Ubicación de la memoria:","000A0000 - 000BFFFF"
"Ubicación de la memoria:","000D8000 - 000D7FFF"
"Ubicación de la memoria:","000E0000 - 000E3FFF"
"I/O Port:","0000 - 0CF7"
"I/O Port:","0D00 - FFFF"
"Ubicación de la memoria:","000A0000 - 000BFFFF"
"Ubicación de la memoria:","000D4000 - 000D7FFF"
"Ubicación de la memoria:","000D8000 - 000DBFFF"
"Ubicación de la memoria:","000DC000 - 000DFFFF"
"Ubicación de la memoria:","000E0000 - 000E3FFF"
"Ubicación de la memoria:","000E4000 - 000E7FFF"
"Ubicación de la memoria:","DF200000 - FEAFFFFF"

System CMOS/real time clock

"Nombre del dispositivo:","System CMOS/real time clock"
"I/O Port:","0070 - 0077"
"I/O Port:","0070 - 0077"
"IRQ:","8"

System board

"Nombre del dispositivo:","System board"
"Ubicación de la memoria:","FED40000 - FED44FFF"
"Ubicación de la memoria:","FED40000 - FED44FFF"

System board

"Nombre del dispositivo:","System board"
"Ubicación de la memoria:","20000000 - 201FFFFF"
"Ubicación de la memoria:","20000000 - 201FFFFF"
"Ubicación de la memoria:","40004000 - 40004FFF"

Motherboard resources

"Nombre del dispositivo:","Motherboard resources"
"Ubicación de la memoria:","FED1C000 - FED1FFFF"
"Ubicación de la memoria:","F8000000 - FBFFFFFF"
"Ubicación de la memoria:","FF000000 - FFFFFFFF"
"Ubicación de la memoria:","FED1C000 - FED1FFFF"
"Ubicación de la memoria:","FED10000 - FED17FFF"
"Ubicación de la memoria:","FED18000 - FED18FFF"
"Ubicación de la memoria:","FED19000 - FED19FFF"
"Ubicación de la memoria:","F8000000 - FBFFFFFF"
"Ubicación de la memoria:","FED20000 - FED3FFFF"
"Ubicación de la memoria:","FED90000 - FED93FFF"
"Ubicación de la memoria:","FED45000 - FED8FFFF"
"Ubicación de la memoria:","FF000000 - FFFFFFFF"
"Ubicación de la memoria:","FEE00000 - FEEFFFFF"
"Ubicación de la memoria:","DF200000 - DF200FFF"

Motherboard resources

"Nombre del dispositivo:","Motherboard resources"
"I/O Port:","0010 - 001F"
"I/O Port:","0065 - 006F"
"I/O Port:","0088"
"Ubicación de la memoria:","00000000 - 0000008F"
"I/O Port:","0010 - 001F"
"I/O Port:","0022 - 003F"
"I/O Port:","0044 - 005F"
"I/O Port:","0062 - 0063"
"I/O Port:","0065 - 006F"
"I/O Port:","0072 - 007F"
"I/O Port:","0080"
"I/O Port:","0084 - 0086"
"I/O Port:","0088"
"I/O Port:","008C - 008E"
"I/O Port:","0090 - 009F"
"I/O Port:","00A2 - 00BF"
"I/O Port:","00E0 - 00EF"
"I/O Port:","04D0 - 04D1"

Motherboard resources

"Nombre del dispositivo:","Motherboard resources"
"I/O Port:","0600 - 061F"
"I/O Port:","0600 - 061F"
"I/O Port:","0680 - 069F"
"I/O Port:","0650 - 065F"

Motherboard resources

"Nombre del dispositivo:","Motherboard resources"
"I/O Port:","002E - 002F"
"I/O Port:","0065"
"I/O Port:","0000 - 006F"
"I/O Port:","0092"
"I/O Port:","FFFF"
"I/O Port:","0000 - 03FF"
"IRQ:","1114369"
"IRQ:","1114369"
"I/O Port:","002E - 002F"
"I/O Port:","004E - 004F"
"I/O Port:","0061"
"I/O Port:","0063"
"I/O Port:","0065"
"I/O Port:","0067"
"I/O Port:","0070"
"I/O Port:","0080"
"I/O Port:","0092"
"I/O Port:","00B2 - 00B3"
"I/O Port:","0680 - 069F"
"I/O Port:","1000 - 100F"
"I/O Port:","FFFF"
"I/O Port:","FFFF"
"I/O Port:","0400 - 0453"
"I/O Port:","0458 - 047F"
"I/O Port:","0500 - 057F"
"I/O Port:","164E - 164F"

Numeric data processor

"Nombre del dispositivo:","Numeric data processor"
"I/O Port:","00F0 - 00FF"
"I/O Port:","00F0 - 00FF"
"IRQ:","13"

SMBIOS DMI


BIOS

"Fabricante de BIOS:","AMI"
"Versión de BIOS:","8.11"
"Fecha de lanzamiento del BIOS (mm/dd/yyyy):","03/08/2013"
"Segmento de inicio de BIOS:","F000"
"Tamaño de la BIOS:","3072 KBytes"
"Versión del BIOS del sistema:","4.6"
"ISA Support:","No presente"
"MCA Support:","No presente"
"EISA Support:","No presente"
"PCI Support:","Presente"
"PC Card (PCMCIA) Support:","No presente"
"Plug-and-Play Support:","Presente"
"APM Support:","No presente"
"Flash BIOS:","Presente"
"BIOS Shadow:","Presente"
"VL-VESA Support:","No presente"
"ESCD Support:","No presente"
"Boot from CD:","Presente"
"Selectable Boot:","Presente"
"BIOS ROM Socketed:","No presente"
"Boot from PC Card:","No presente"
"EDD Support:","Presente"
"NEC PC-98 Support:","No presente"
"ACPI Support:","Presente"
"USB Legacy Support:","Presente"
"AGP Support:","No presente"
"I2O Boot Support:","No presente"
"LS-120 Boot Support:","No presente"
"ATAPI ZIP Drive Boot Support:","No presente"
"IEE1394 Boot Support:","No presente"
"Smart Battery Support:","No presente"
"BIOS Boot Specification Support:","Presente"
"Function key-initiated Network Service Boot Support:","Presente"
"Targeted Content Distribution Support:","Presente"
"UEFI Specification Support:","Presente"
"Virtual Machine:","No presente"

Sistema

"Fabricante del sistema:","Hewlett-Packard"
"Nombre del producto:","HP Compaq Pro 4300 SFF PC"
"Version del producto:",""
"Número de serie del producto:","MXL3280HZF"
"UUID:","{82DDFDD9-E1D6-2DB2-E1C9-4198189F5D09}"
"SKU Number:","C9G92LT#ABM"
"Family:","103C_53307F G=D"

tarjeta madre

"Fabricante de la placa base:","Hewlett-Packard"
"Nombre de la placa base:","2ADE"
"Versión de la placa base:","1.0"
"Número de serie de la placa base:","MXL3280HZF"
"Asset Tag:","MXL3280HZF"
"Ubicación en el chasis de la:"," "

Caja del sistema

"Fabricante:","Hewlett-Packard"
"Tipo de caja:","Desktop"
"Versión:"," "
"Número de serie:","MXL3280HZF"
"Asset Tag Number:","MXL3280HZF"

Cadenas de texto OEM


































Opciones de configuración del sistema



Información de arranque del sistema

"Estado de arranque:","No ocurrió ningún error"

Dispositivo de gestión

"Descripción del aparato:","LM78-1"
"Tipo de dispositivo:","National Semiconductor LM78"
"Device Address:","I/O: 0"

Sonda de voltaje

"Descripción:","LM78A"
"Location:","Desconocido"
"Status:","Desconocido"
"Maximum Value:","Unknown"
"Minimum Value:","Unknown"
"Resolution:","Unknown"
"Tolerance:","Unknown"
"Accuracy:","Unknown"

Management Device Threshold Data


Componente de dispositivo de gestión


Probeta de temperatura

"Descripción:","LM78A"
"Location:","Unknown"
"Status:","Unknown"
"Maximum Value:","Unknown"
"Minimum Value:","Unknown"
"Nominal Value:","Unknown"
"Resolution:","Unknown"
"Tolerance:","Unknown"
"Accuracy:","Unknown"

Management Device Threshold Data


Componente de dispositivo de gestión


Dispositivo de enfriamiento

"Escribe:","Unknown"
"Descripción:","Cooling Dev 1"
"Status:","Unknown"

Management Device Threshold Data


Componente de dispositivo de gestión


Dispositivo de enfriamiento

"Escribe:","Unknown"
"Descripción:",""
"Status:","Unknown"

Management Device Threshold Data


Componente de dispositivo de gestión


Sonda de corriente eléctrica

"Descripción:","ABC"
"Location:","Desconocido"
"Status:","Desconocido"
"Maximum Value:","Unknown"
"Minimum Value:","Unknown"
"Resolution:","Unknown"
"Tolerance:","Unknown"
"Accuracy:","Unknown"

Management Device Threshold Data


Componente de dispositivo de gestión


Sonda de voltaje

"Descripción:","LM78A"
"Location:","Consumo de energía Unit"
"Status:","OK"
"Maximum Value:","Unknown"
"Minimum Value:","Unknown"
"Resolution:","Unknown"
"Tolerance:","Unknown"
"Accuracy:","Unknown"

Probeta de temperatura

"Descripción:","LM78A"
"Location:","Power Unit"
"Status:","OK"
"Maximum Value:","Unknown"
"Minimum Value:","OK"
"Nominal Value:","OK"
"Resolution:","OK"
"Tolerance:","OK"
"Accuracy:","Unknown"

Dispositivo de enfriamiento

"Escribe:","Power Supply Fan"
"Descripción:","Cooling Dev 1"
"Status:","OK"

Sonda de corriente eléctrica

"Descripción:","ABC"
"Location:","Consumo de energía Unit"
"Status:","OK"
"Maximum Value:","Unknown"
"Minimum Value:","Unknown"
"Resolution:","Unknown"
"Tolerance:","Unknown"
"Accuracy:","Unknown"

Fuente de alimentación del sistema

"Location:"," "
"Nombre del dispositivo:"," "
"Fabricante:"," "
"Número de serie:"," "
"Asset Tag Number:"," "
"Model Part Number:","Standard Efficiency"
"Revision Level:"," "
"Power Supply Status:","Presente"
"Power Supply Type:","Switching"
"Estado de energía:","OK"
"Hot replaceable:","No"
"Unplugged from wall:","No"

Dispositivo a bordo

"Descripción del aparato:"," Onboard IGD"
"Tipo de dispositivo:","Video Adapter"
"Estado del dispositivo:","Activado"

Dispositivo a bordo

"Descripción del aparato:"," Onboard LAN"
"Tipo de dispositivo:","Ethernet Adapter"
"Estado del dispositivo:","Activado"

Dispositivo a bordo

"Descripción del aparato:"," Onboard AUDIO"
"Tipo de dispositivo:","Audio Device"
"Estado del dispositivo:","Activado"

CPU Interno L2

"Designación de enchufe:","CPU Internal L2"
"Estado de caché:","Activado"
"Ubicación de la caché:","Interno"
"Tipo de caché:","L2 Unified"
"Esquema de caché:","Write-Through"
"Tipo de SRAM admitido:",""
"Tipo de SRAM actual:",""
"Velocidad de caché:","Unknown"
"Tipo de corrección de errores:","Multi-bit ECC"
"Tamaño máximo de caché:","1024 KBytes"
"Tamaño de caché instalado:","1024 KBytes"
"Asociatividad de caché:","8-way Set-Associative"

CPU Interno L1

"Designación de enchufe:","CPU Internal L1"
"Estado de caché:","Activado"
"Ubicación de la caché:","Interno"
"Tipo de caché:","L1 Data"
"Esquema de caché:","Write-Through"
"Tipo de SRAM admitido:",""
"Tipo de SRAM actual:",""
"Velocidad de caché:","Unknown"
"Tipo de corrección de errores:","Parity"
"Tamaño máximo de caché:","256 KBytes"
"Tamaño de caché instalado:","256 KBytes"
"Asociatividad de caché:","8-way Set-Associative"

CPU Interno L3

"Designación de enchufe:","CPU Internal L3"
"Estado de caché:","Activado"
"Ubicación de la caché:","Interno"
"Tipo de caché:","L3 Unified"
"Esquema de caché:","Write-Back"
"Tipo de SRAM admitido:",""
"Tipo de SRAM actual:",""
"Velocidad de caché:","Unknown"
"Tipo de corrección de errores:","Multi-bit ECC"
"Tamaño máximo de caché:","6144 KBytes"
"Tamaño de caché instalado:","6144 KBytes"
"Asociatividad de caché:","12-way Set-Associative"

Procesador

