
ARCHIVO-CALERA

"Nombre del computadora:","ARCHIVO-CALERA"
"Range 100000000-120000000 (4096MB-4608MB) Type:","Write Back (WB)"
"Range DB800000-DC000000 (3512MB-3520MB) Type:","Uncacheable (UC)"
"Range DC000000-E0000000 (3520MB-3584MB) Type:","Uncacheable (UC)"
"Range E0000000-100000000 (3584MB-4096MB) Type:","Uncacheable (UC)"
"Range 11FE00000-120000000 (4606MB-4608MB) Type:","Uncacheable (UC)"

Tarjeta madre

"Nombre de marca de computadora:","Desconocido o sin nombre"
"Modelo de placa base:","Intel DH61WW"
"Chipset de la placa base:","Intel H61 (Cougar Point)"
"Ranuras para placa base:","1xPCI, 2xPCI Express x1, 1xPCI Express x16"
"Versión de PCI Express admitida:","v2.0"
"Versión USB admitida:","v2.0"
"USB Port Count:","10 ports"
"RAID Capability:","No soportado"
"SATA Ports 2 and 3:","No soportado"
"SATA Port 1 6 Gb/s:","No soportado"
"SATA Port 0 6 Gb/s:","No soportado"
"PCI Interface:","No soportado"
"PCI Express Ports 5 and 6:","Soportado"
"USB Redirect (USBr):","No soportado"
"Intel Anti-Theft Technology:","Soportado"
"PCI Express Ports 7 and 8:","No soportado"
"PCH Integrated Graphics Support:","Soportado"
"Data Center Manageability Interface (DCMI):","Soportado"
"Node Manager:","Soportado"
"Fabricante de BIOS:","American Megatrends"
"Fecha de BIOS (mm/dd/yyyy):","01/18/2011"
"Versión de BIOS:","BEH6110H.86A.0016.2011.0118.1128"
"UEFI BIOS:","Capaz"
"Chip Super-IO / LPC:","Winbond W83676HG/W83677HG/NCT6771F/2F/5F [B]"
"Chip del módulo de plataforma segura (TPM):","Not Found"

Dispositivos ACPI


Motherboard resources

"Nombre del dispositivo:","Motherboard resources"
"I/O Port:","0454 - 0457"
"I/O Port:","0454 - 0457"

Programmable interrupt controller

"Nombre del dispositivo:","Programmable interrupt controller"
"I/O Port:","0020 - 0021"
"IRQ:","65792"
"I/O Port:","0020 - 0021"
"I/O Port:","00A0 - 00A1"

System timer

"Nombre del dispositivo:","System timer"
"I/O Port:","0040 - 0043"
"I/O Port:","0040 - 0043"
"IRQ:","0"

High precision event timer

"Nombre del dispositivo:","High precision event timer"
"Ubicación de la memoria:","FED00000 - FED003FF"
"Ubicación de la memoria:","FED00000 - FED003FF"

Direct memory access controller

"Nombre del dispositivo:","Direct memory access controller"
"I/O Port:","0089 - 008B"
"DMA:","4"
"I/O Port:","0000 - 000F"
"I/O Port:","0081 - 0083"
"I/O Port:","0087"
"I/O Port:","0089 - 008B"
"I/O Port:","008F"
"I/O Port:","00C0 - 00DF"
"DMA:","4"

Puerto de impresora

"Nombre del dispositivo:","Puerto de impresora"
"I/O Port:","0378 - 037F"
"I/O Port:","0378 - 037F"
"IRQ:","5"
"I/O Port:","0378 - 037F"
"IRQ:","5"
"IRQ:","6"
"IRQ:","7"
"IRQ:","10"
"IRQ:","11"
"IRQ:","12"
"I/O Port:","0278 - 027F"
"IRQ:","5"
"IRQ:","6"
"IRQ:","7"
"IRQ:","10"
"IRQ:","11"
"IRQ:","12"
"I/O Port:","03BC - 03BF"
"IRQ:","5"
"IRQ:","6"
"IRQ:","7"
"IRQ:","10"
"IRQ:","11"
"IRQ:","12"
"I/O Port:","0378 - 037F"
"I/O Port:","0278 - 027F"
"I/O Port:","03BC - 03BF"

Puerto de comunicaciones

"Nombre del dispositivo:","Puerto de comunicaciones"
"I/O Port:","03F8 - 03FF"
"I/O Port:","03F8 - 03FF"
"IRQ:","4"
"I/O Port:","03F8 - 03FF"
"IRQ:","3"
"IRQ:","4"
"IRQ:","5"
"IRQ:","6"
"IRQ:","7"
"IRQ:","10"
"IRQ:","11"
"IRQ:","12"
"I/O Port:","02F8 - 02FF"
"IRQ:","3"
"IRQ:","4"
"IRQ:","5"
"IRQ:","6"
"IRQ:","7"
"IRQ:","10"
"IRQ:","11"
"IRQ:","12"
"I/O Port:","03E8 - 03EF"
"IRQ:","3"
"IRQ:","4"
"IRQ:","5"
"IRQ:","6"
"IRQ:","7"
"IRQ:","10"
"IRQ:","11"
"IRQ:","12"
"I/O Port:","02E8 - 02EF"
"IRQ:","3"
"IRQ:","4"
"IRQ:","5"
"IRQ:","6"
"IRQ:","7"
"IRQ:","10"
"IRQ:","11"
"IRQ:","12"

System speaker

"Nombre del dispositivo:","System speaker"
"I/O Port:","0061"
"I/O Port:","0061"

PCI Express Root Complex

"Nombre del dispositivo:","PCI Express Root Complex"
"I/O Port:","0000 - FFFFFFFF"
"I/O Port:","03B0 - 03DF"
"Ubicación de la memoria:","000A0000 - 0009FFFF"
"I/O Port:","0000 - 03AF"
"I/O Port:","03E0 - 0CF7"
"I/O Port:","03B0 - 03DF"
"I/O Port:","0D00 - FFFF"
"Ubicación de la memoria:","000A0000 - 000BFFFF"
"Ubicación de la memoria:","000C0000 - 000DFFFF"
"Ubicación de la memoria:","DFA00000 - FFFFFFFF"

System CMOS/real time clock

"Nombre del dispositivo:","System CMOS/real time clock"
"I/O Port:","0070 - 0071"
"I/O Port:","0070 - 0071"
"IRQ:","8"

System board

"Nombre del dispositivo:","System board"
"I/O Port:","0400 - 0453"
"Ubicación de la memoria:","FED1C000 - FED1FFFF"
"I/O Port:","0400 - 0453"
"I/O Port:","0458 - 047F"
"I/O Port:","1180 - 119F"
"I/O Port:","0500 - 057F"
"Ubicación de la memoria:","FED1C000 - FED1FFFF"
"Ubicación de la memoria:","FEC00000 - FECFFFFF"
"Ubicación de la memoria:","FED08000 - FED08FFF"
"Ubicación de la memoria:","FF000000 - FFFFFFFF"

System board

"Nombre del dispositivo:","System board"
"Ubicación de la memoria:","FED10000 - FED19FFF"
"Ubicación de la memoria:","FED10000 - FED19FFF"
"Ubicación de la memoria:","F8000000 - FBFFFFFF"
"Ubicación de la memoria:","FED90000 - FED93FFF"
"Ubicación de la memoria:","FED20000 - FED3FFFF"
"Ubicación de la memoria:","FEE00000"

Motherboard resources

"Nombre del dispositivo:","Motherboard resources"
"I/O Port:","0010 - 001F"
"I/O Port:","0065 - 006F"
"I/O Port:","0088"
"Ubicación de la memoria:","00000000 - 0000008F"
"I/O Port:","0010 - 001F"
"I/O Port:","0022 - 003F"
"I/O Port:","0044 - 005F"
"I/O Port:","0062 - 0063"
"I/O Port:","0065 - 006F"
"I/O Port:","0072 - 007F"
"I/O Port:","0080"
"I/O Port:","0084 - 0086"
"I/O Port:","0088"
"I/O Port:","008C - 008E"
"I/O Port:","0090 - 009F"
"I/O Port:","00A2 - 00BF"
"I/O Port:","00E0 - 00EF"
"I/O Port:","04D0 - 04D1"

Motherboard resources

"Nombre del dispositivo:","Motherboard resources"
"I/O Port:","0778 - 077F"
"I/O Port:","0778 - 077F"

Numeric data processor

"Nombre del dispositivo:","Numeric data processor"
"I/O Port:","00F0 - 00FF"
"I/O Port:","00F0 - 00FF"
"IRQ:","13"

SMBIOS DMI


BIOS

"Fabricante de BIOS:","Intel Corp."
"Versión de BIOS:","BEH6110H.86A.0016.2011.0118.1128"
"Fecha de lanzamiento del BIOS (mm/dd/yyyy):","01/18/2011"
"Segmento de inicio de BIOS:","F000"
"Tamaño de la BIOS:","1024 KBytes"
"ISA Support:","No presente"
"MCA Support:","No presente"
"EISA Support:","No presente"
"PCI Support:","Presente"
"PC Card (PCMCIA) Support:","No presente"
"Plug-and-Play Support:","No presente"
"APM Support:","No presente"
"Flash BIOS:","Presente"
"BIOS Shadow:","Presente"
"VL-VESA Support:","No presente"
"ESCD Support:","No presente"
"Boot from CD:","Presente"
"Selectable Boot:","Presente"
"BIOS ROM Socketed:","Presente"
"Boot from PC Card:","No presente"
"EDD Support:","Presente"
"NEC PC-98 Support:","No presente"
"ACPI Support:","Presente"
"USB Legacy Support:","Presente"
"AGP Support:","No presente"
"I2O Boot Support:","No presente"
"LS-120 Boot Support:","No presente"
"ATAPI ZIP Drive Boot Support:","No presente"
"IEE1394 Boot Support:","No presente"
"Smart Battery Support:","No presente"
"BIOS Boot Specification Support:","Presente"
"Function key-initiated Network Service Boot Support:","No presente"
"Targeted Content Distribution Support:","Presente"
"UEFI Specification Support:","No presente"
"Virtual Machine:","No presente"

Procesador

"Fabricante del procesador:","Intel Corporation"
"Processor Version:","Intel(R) Core(TM) i3-2100 CPU @ 3.10GHz        "
"Frecuencia externa:","100 MHz"
"Frecuencia máxima admitida:","4000 MHz"
"Frecuencia actual:","3100 MHz"
"Zócalo de CPU:","Poblada"
"Estado de la CPU:","Activado"
"Tipo de procesador:","Procesador central"
"Voltaje del procesador:","1.7 V"
"Actualización del procesador:","Socket LGA1156"
"Designación de enchufe:","LGA1155 CPU 1"

L1-Cache

"Designación de enchufe:","L1-Cache"
"Estado de caché:","Activado"
"Ubicación de la caché:","Interno"
"Tipo de caché:","L1 Unified"
"Esquema de caché:","Write-Back"
"Tipo de SRAM admitido:",""
"Tipo de SRAM actual:",""
"Velocidad de caché:","Unknown"
"Tipo de corrección de errores:","Ninguna"
"Tamaño máximo de caché:","32 KBytes"
"Tamaño de caché instalado:","32 KBytes"
"Asociatividad de caché:","8-way Set-Associative"

L2-Cache

"Designación de enchufe:","L2-Cache"
"Estado de caché:","Activado"
"Ubicación de la caché:","Interno"
"Tipo de caché:","L2 Unified"
"Esquema de caché:","Write-Through and Write-Back"
"Tipo de SRAM admitido:",""
"Tipo de SRAM actual:",""
"Velocidad de caché:","Unknown"
"Tipo de corrección de errores:","Ninguna"
"Tamaño máximo de caché:","512 KBytes"
"Tamaño de caché instalado:","512 KBytes"
"Asociatividad de caché:","8-way Set-Associative"

L3-Cache

"Designación de enchufe:","L3-Cache"
"Estado de caché:","Activado"
"Ubicación de la caché:","Interno"
"Tipo de caché:","L3 Unified"
"Esquema de caché:","Unknown"
"Tipo de SRAM admitido:",""
"Tipo de SRAM actual:",""
"Velocidad de caché:","Unknown"
"Tipo de corrección de errores:","Ninguna"
"Tamaño máximo de caché:","3072 KBytes"
"Tamaño de caché instalado:","3072 KBytes"
"Asociatividad de caché:","Unknown"

Dispositivo a bordo

"Descripción del aparato:","Intel(R) HD Graphics Device"
"Tipo de dispositivo:","Video Adapter"
"Estado del dispositivo:","Activado"

Dispositivo a bordo

"Descripción del aparato:","Intel(R) 82579V Gigabit Network Device"
"Tipo de dispositivo:","Ethernet Adapter"
"Estado del dispositivo:","Activado"

Dispositivo a bordo

"Descripción del aparato:","Intel(R) High Definition Audio Device"
"Tipo de dispositivo:","Audio Device"
"Estado del dispositivo:","Activado"

Cadenas de texto OEM



Opciones de configuración del sistema



Idioma del BIOS



Información de arranque del sistema

"Estado de arranque:","No ocurrió ningún error"

Dispositivo a bordo

"Descripción del aparato:","Intel(R) HD Graphics Device"
"Tipo de dispositivo:","Video Adapter"
"Estado del dispositivo:","Activado"

Dispositivo a bordo

"Descripción del aparato:","Intel(R) 82579V Gigabit Network Device"
"Tipo de dispositivo:","Ethernet Adapter"
"Estado del dispositivo:","Activado"

Dispositivo a bordo

"Descripción del aparato:","Intel(R) High Definition Audio Device"
"Tipo de dispositivo:","Audio Device"
"Estado del dispositivo:","Activado"

tarjeta madre

"Fabricante de la placa base:","Intel Corporation"
"Nombre de la placa base:","DH61WW"
"Versión de la placa base:","AAG23116-202"
"Número de serie de la placa base:","BTWW1110069N"
"Asset Tag:","To be filled by O.E.M."
"Ubicación en el chasis de la:","To be filled by O.E.M."

Caja del sistema

"Fabricante:","                                 "
"Tipo de caja:","Desktop"
"Versión:","                                 "
"Número de serie:","                                 "
"Asset Tag Number:","                                 "

Sistema

"Fabricante del sistema:",""
"Nombre del producto:",""
"Version del producto:",""
"Número de serie del producto:",""
"UUID:","{3A9B836F-C44A-E011-9CDA-0050BF20DC86}"
"SKU Number:",""
"Family:",""

Dispositivos de memoria


Matriz de memoria física

"Ubicación de la matriz:","System board"
"Uso de matriz:","System memory"
"Método de detección de errores:","Ninguna"
"Capacidad de memoria:","8 GBytes"
"Dispositivos de memoria:","2"

32-bit Memory Error Information


Memory Array Mapped Address

"Dirección inicial:","00000000"
"Dirección final:","003FFFFF"
"Ancho de partición:","1"

Dispositivo de memoria

"Ancho total:","64 bits"
"Ancho de datos:","64 bits"
"Tamaño del dispositivo:","4096 MBytes"
"Factor de forma del dispositivo:","DIMM"
"Localizador de dispositivos:","DIMM1"
"Bank Locator:","Channel A DIMM 0"
"Tipo de dispositivo:","DDR3 SDRAM"
"Detalle del tipo de dispositivo:","Synchronous"
"Velocidad de memoria:","1600 MHz"
"Fabricante:","Undefined       "
"Número de serie:","4219809A  "
"Número de parte:","RMR5030EF68F9W1600"
"Asset Tag:","A1_AssetTagNum0"

32-bit Memory Error Information


Memory Device Mapped Address

"Dirección inicial:","00000000"
"Dirección final:","003FFFFF"
"Partition Row Position:","1"
"Interleave Position:","Non-interleaved"
"Interleave Data Depth:","0"

Dispositivo de memoria

"Ancho total:","64 bits"
"Ancho de datos:","64 bits"
"Tamaño del dispositivo:","0 MBytes"
"Factor de forma del dispositivo:","DIMM"
"Localizador de dispositivos:","DIMM2"
"Bank Locator:","Channel B DIMM 0"
"Tipo de dispositivo:","Unknown"
"Detalle del tipo de dispositivo:","Synchronous"
"Fabricante:","A1_Manufacturer1"
"Número de serie:","A1_SerNum1"
"Número de parte:","Array1_PartNumber1"
"Asset Tag:","A1_AssetTagNum1"

32-bit Memory Error Information


Conectores de puerto


Mouse Port

"Tipo de puerto:","Mouse Port"
"Referencia interna:","J1A1"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","PS2Mouse"
"Tipo de conector externo:","PS/2"

Keyboard Port

"Tipo de puerto:","Keyboard Port"
"Referencia interna:","J1A1"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","Keyboard"
"Tipo de conector externo:","PS/2"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J2A1"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","TV Out"
"Tipo de conector externo:","Mini-Centronics Type-14"

Serial Port 16550A Compatible

"Tipo de puerto:","Serial Port 16550A Compatible"
"Referencia interna:","J2A2A"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","COM A"
"Tipo de conector externo:","DB-9 pin male"

Video Port

"Tipo de puerto:","Video Port"
"Referencia interna:","J2A2B"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","Video"
"Tipo de conector externo:","DB-15 pin female"

USB

"Tipo de puerto:","USB"
"Referencia interna:","J3A1"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","USB1"
"Tipo de conector externo:","Access Bus (USB)"

USB

"Tipo de puerto:","USB"
"Referencia interna:","J3A1"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","USB2"
"Tipo de conector externo:","Access Bus (USB)"

USB

"Tipo de puerto:","USB"
"Referencia interna:","J3A1"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","USB3"
"Tipo de conector externo:","Access Bus (USB)"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J9A1 - TPM HDR"
"Tipo de conector interno:","Desconocido"
"Referencia externa:",""
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J9C1 - PCIE DOCKING CONN"
"Tipo de conector interno:","Desconocido"
"Referencia externa:",""
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J2B3 - CPU FAN"
"Tipo de conector interno:","Desconocido"
"Referencia externa:",""
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J6C2 - EXT HDMI"
"Tipo de conector interno:","Desconocido"
"Referencia externa:",""
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J3C1 - GMCH FAN"
"Tipo de conector interno:","Desconocido"
"Referencia externa:",""
"Tipo de conector externo:","Ninguna"

Conector de puerto

"Tipo de puerto:","Desconocido"
"Referencia interna:","J1D1 - ITP"
"Tipo de conector interno:","Desconocido"
"Referencia externa:",""
"Tipo de conector externo:","Ninguna"

Conector de puerto

