
CLINICACALERA4

"Nombre del computadora:","CLINICACALERA4"
"Fast Short CMPSB, SCASB","No presente"
"History Reset","No presente"
"Linear Address Masking","No presente"
"Linear Address Space Separation","No presente"
"RAO-INT Instructions","No presente"
"CMPccXADD Instructions","No presente"
"Flexible Return and Event Delivery (FRED)","No presente"
"LKGS Instruction","No presente"
"WRMSRNS Instruction","No presente"
"NMI-source Reporting","No presente"
"AVX-IFMA Instructions","No presente"
"RD/WR MSRLIST Instructions","No presente"
"INVD Execution Prevention After BIOS-Done","No presente"
"Protected Processor Inventory Number (IA32_PPIN) Support","No presente"
"PBNDKB Instruction","No presente"
"AVX-VNNI-INT8 Instructions","No presente"
"AVX-VNNI-INT16 Instructions","No presente"
"AVX-NE-CONVERT Instructions","No presente"
"PREFETCHIT0/1 Instructions","No presente"
"URDMSR/UWRMSR Instructions","No presente"
"AMX-COMPLEX Instructions","No presente"
"CET Supervisor Shadow-Stack","No presente"
"UIRET Support","No presente"
"Advanced Vector Extensions 10 (AVX10)","No presente"
"Advanced Performance Extensions (APX) Foundation","No presente"
"Not Exhibiting MXCSR Configuration Dependent Timing (MCDT)","No presente"
"UC-Lock Disable Feature","No presente"
"LAHF/SAHF Long Mode Support","Presente"
"Core Multi-Processing Legacy Mode","Presente"
"Secure Virtual Machine","Presente"
"Extended APIC Register Space","Presente"
"LOCK MOV CR0 Support","Presente"
"Advanced Bit Manipulation","Presente"
"SSE4A Support","Presente"
"Misaligned SSE Mode","Presente"
"PREFETCH(W) Support","Presente"
"OS Visible Work-around Support","Presente"
"Instruction Based Sampling","Presente"
"XOP Instruction Support","No presente"
"SKINIT, STGI, and DEV Support","Presente"
"Watchdog Timer Support","Presente"
"TBM0 Instruction Support","No presente"
"Lightweight Profiling Support","No presente"
"FMA4 Instruction Support","No presente"
"Translation Cache Extension","No presente"
"NodeId Support","No presente"
"Trailing Bit Manipulation","No presente"
"Topology Extensions","Presente"
"Core Performance Counter Extensions","No presente"
"NB Performance Counter Extensions","Presente"
"Streaming Performance Monitor Architecture","No presente"
"Data Breakpoint Extension","Presente"
"Performance Time-Stamp Counter","No presente"
"L2I Performance Counter Extensions","Presente"
"MWAITX/MONITORX Support","No presente"
"Cifrado de memoria seguro (SME)","No presente"
"Virtualización cifrada segura (SEV)","No presente"
"Core Performance Boost","No soportado"
"Tamaño máximo de dirección física:","40-bit (1 TBytes)"
"Tamaño máximo de dirección virtual:","48-bit (256 TBytes)"
"Range 0-80000000 (0MB-2048MB) Type:","Write Back (WB)"
"Range 80000000-A0000000 (2048MB-2560MB) Type:","Write Back (WB)"
"Range 9F000000-A0000000 (2544MB-2560MB) Type:","Uncacheable (UC)"

Tarjeta madre

"Nombre de marca de computadora:","Hewlett-Packard HP ProDesk 405 G1 MT"
"Modelo de placa base:","Hewlett-Packard 2171"
"Chipset de la placa base:","AMD Yangtze"
"Ranuras para placa base:","3xPCI Express x1, 1xPCI Express x16"
"Versión de PCI Express admitida:","v2.0"
"Versión USB admitida:","v3.0"
"Fabricante de BIOS:","American Megatrends"
"Fecha de BIOS (mm/dd/yyyy):","12/25/2013"
"Versión de BIOS:","80.04"
"Versión AMD AGESA:","KabiniPI        V1.0.0.8    "
"UEFI BIOS:","Capaz"
"Chip Super-IO / LPC:","Nuvoton NPCD379HAKFX"
"Chip del módulo de plataforma segura (TPM):","Not Found"

Dispositivos ACPI


Programmable interrupt controller

"Nombre del dispositivo:","Programmable interrupt controller"
"I/O Port:","0020 - 0021"
"IRQ:","65792"
"I/O Port:","0020 - 0021"
"I/O Port:","00A0 - 00A1"

System timer

"Nombre del dispositivo:","System timer"
"I/O Port:","0040 - 0043"
"I/O Port:","0040 - 0043"
"IRQ:","0"

High precision event timer

"Nombre del dispositivo:","High precision event timer"
"Ubicación de la memoria:","FED00000 - FED003FF"
"Ubicación de la memoria:","FED00000 - FED003FF"

Direct memory access controller

"Nombre del dispositivo:","Direct memory access controller"
"I/O Port:","0089 - 008B"
"DMA:","4"
"I/O Port:","0000 - 000F"
"I/O Port:","0081 - 0083"
"I/O Port:","0087"
"I/O Port:","0089 - 008B"
"I/O Port:","008F"
"I/O Port:","00C0 - 00DF"
"DMA:","4"

Puerto de comunicaciones

"Nombre del dispositivo:","Puerto de comunicaciones"
"I/O Port:","03F8 - 03FF"
"I/O Port:","03F8 - 03FF"
"IRQ:","4"
"I/O Port:","03F8 - 03FF"
"IRQ:","3"
"I/O Port:","02F8 - 02FF"
"IRQ:","4"
"I/O Port:","02F8 - 02FF"
"IRQ:","3"
"I/O Port:","03E8 - 03EF"
"IRQ:","4"
"I/O Port:","03E8 - 03EF"
"IRQ:","3"
"I/O Port:","02E8 - 02EF"
"IRQ:","4"
"I/O Port:","02E8 - 02EF"
"IRQ:","3"
"I/O Port:","03F8 - 03FF"
"IRQ:","10"
"I/O Port:","03F8 - 03FF"
"IRQ:","5"
"I/O Port:","02F8 - 02FF"
"IRQ:","10"
"I/O Port:","02F8 - 02FF"
"IRQ:","5"
"I/O Port:","03E8 - 03EF"
"IRQ:","10"
"I/O Port:","03E8 - 03EF"
"IRQ:","5"
"I/O Port:","02E8 - 02EF"
"IRQ:","10"
"I/O Port:","02E8 - 02EF"
"IRQ:","5"

System speaker

"Nombre del dispositivo:","System speaker"
"I/O Port:","0061"
"I/O Port:","0061"

PCI Express Root Complex

"Nombre del dispositivo:","PCI Express Root Complex"
"I/O Port:","0000 - FFFFFFFF"
"I/O Port:","03B0 - 03DF"
"Ubicación de la memoria:","000A0000 - 0009FFFF"
"I/O Port:","0000 - 03AF"
"I/O Port:","03E0 - 0CF7"
"I/O Port:","03B0 - 03DF"
"I/O Port:","0D00 - FFFF"
"Ubicación de la memoria:","000A0000 - 000BFFFF"
"Ubicación de la memoria:","000C0000 - 000DFFFF"
"Ubicación de la memoria:","C0000000 - FFFFFFFF"

System CMOS/real time clock

"Nombre del dispositivo:","System CMOS/real time clock"
"I/O Port:","0070 - 0071"
"I/O Port:","0070 - 0071"
"IRQ:","8"

System board

"Nombre del dispositivo:","System board"
"Ubicación de la memoria:","E0000000 - EFFFFFFF"
"Ubicación de la memoria:","E0000000 - EFFFFFFF"

Motherboard resources

"Nombre del dispositivo:","Motherboard resources"
"I/O Port:","0010 - 001F"
"I/O Port:","0080"
"I/O Port:","0090 - 009F"
"Ubicación de la memoria:","00000000 - 00000087"
"I/O Port:","0010 - 001F"
"I/O Port:","0022 - 003F"
"I/O Port:","0044 - 005F"
"I/O Port:","0072 - 007F"
"I/O Port:","0080"
"I/O Port:","0084 - 0086"
"I/O Port:","0088"
"I/O Port:","008C - 008E"
"I/O Port:","0090 - 009F"
"I/O Port:","00A2 - 00BF"
"I/O Port:","00E0 - 00EF"
"I/O Port:","04D0 - 04D1"

Motherboard resources

"Nombre del dispositivo:","Motherboard resources"
"I/O Port:","0600 - 061F"
"I/O Port:","0600 - 061F"
"I/O Port:","0680 - 069F"
"I/O Port:","0650 - 065F"

Motherboard resources

"Nombre del dispositivo:","Motherboard resources"
"Ubicación de la memoria:","A0000000 - BFFFFFFF"
"Ubicación de la memoria:","A0000000 - BFFFFFFF"

Motherboard resources

"Nombre del dispositivo:","Motherboard resources"
"I/O Port:","0010 - 001F"
"I/O Port:","0067 - 006F"
"I/O Port:","0088"
"I/O Port:","00B1"
"I/O Port:","04D6"
"I/O Port:","0C52"
"I/O Port:","0000 - 0C6E"
"I/O Port:","0CD2 - 0CD3"
"I/O Port:","0800 - 089F"
"I/O Port:","0910 - 091F"
"Ubicación de la memoria:","00000000 - 0000008F"
"IRQ:","1114369"
"IRQ:","1114369"
"I/O Port:","0010 - 001F"
"I/O Port:","0022 - 003F"
"I/O Port:","0063"
"I/O Port:","0065"
"I/O Port:","0067 - 006F"
"I/O Port:","0072 - 007F"
"I/O Port:","0080"
"I/O Port:","0084 - 0086"
"I/O Port:","0088"
"I/O Port:","008C - 008E"
"I/O Port:","0090 - 009F"
"I/O Port:","00A2 - 00BF"
"I/O Port:","00B1"
"I/O Port:","00E0 - 00EF"
"I/O Port:","04D0 - 04D1"
"I/O Port:","040B"
"I/O Port:","04D6"
"I/O Port:","0C00 - 0C01"
"I/O Port:","0C14"
"I/O Port:","0C50 - 0C51"
"I/O Port:","0C52"
"I/O Port:","0C6C"
"I/O Port:","0C6F"
"I/O Port:","0CD0 - 0CD1"
"I/O Port:","0CD2 - 0CD3"
"I/O Port:","0CD4 - 0CD5"
"I/O Port:","0CD6 - 0CD7"
"I/O Port:","0CD8 - 0CDF"
"I/O Port:","0800 - 089F"
"I/O Port:","0000 - 000F"
"I/O Port:","0B20 - 0B3F"
"I/O Port:","0900 - 090F"
"I/O Port:","0910 - 091F"
"I/O Port:","FE00 - FEFE"
"Ubicación de la memoria:","FEC00000 - FEC00FFF"
"Ubicación de la memoria:","FEE00000 - FEE00FFF"
"Ubicación de la memoria:","FED80000"
"Ubicación de la memoria:","FED61000"
"Ubicación de la memoria:","FEC10000 - FEC10FFF"
"Ubicación de la memoria:","FED00000 - FED00FFF"
"Ubicación de la memoria:","FF000000"

Numeric data processor

"Nombre del dispositivo:","Numeric data processor"
"I/O Port:","00F0 - 00FF"
"I/O Port:","00F0 - 00FF"
"IRQ:","13"

SMBIOS DMI


BIOS

"Fabricante de BIOS:","AMI"
"Versión de BIOS:","80.04"
"Fecha de lanzamiento del BIOS (mm/dd/yyyy):","12/25/2013"
"Segmento de inicio de BIOS:","F000"
"Tamaño de la BIOS:","1024 KBytes"
"Versión del BIOS del sistema:","4.6"
"ISA Support:","No presente"
"MCA Support:","No presente"
"EISA Support:","No presente"
"PCI Support:","Presente"
"PC Card (PCMCIA) Support:","No presente"
"Plug-and-Play Support:","Presente"
"APM Support:","No presente"
"Flash BIOS:","Presente"
"BIOS Shadow:","Presente"
"VL-VESA Support:","No presente"
"ESCD Support:","No presente"
"Boot from CD:","Presente"
"Selectable Boot:","Presente"
"BIOS ROM Socketed:","No presente"
"Boot from PC Card:","No presente"
"EDD Support:","Presente"
"NEC PC-98 Support:","No presente"
"ACPI Support:","Presente"
"USB Legacy Support:","Presente"
"AGP Support:","No presente"
"I2O Boot Support:","No presente"
"LS-120 Boot Support:","No presente"
"ATAPI ZIP Drive Boot Support:","No presente"
"IEE1394 Boot Support:","No presente"
"Smart Battery Support:","No presente"
"BIOS Boot Specification Support:","Presente"
"Function key-initiated Network Service Boot Support:","Presente"
"Targeted Content Distribution Support:","Presente"
"UEFI Specification Support:","Presente"
"Virtual Machine:","No presente"

Sistema

"Fabricante del sistema:","Hewlett-Packard"
"Nombre del producto:","HP ProDesk 405 G1 MT"
"Version del producto:",""
"Número de serie del producto:","MXL4250JFM"
"UUID:","{D8F17A85-FE82-7219-ED99-B96D957DF528}"
"SKU Number:","E2G58AV#010"
"Family:","103C_53307F G=D"

tarjeta madre

"Fabricante de la placa base:","Hewlett-Packard"
"Nombre de la placa base:","2171"
"Versión de la placa base:","NULL"
"Número de serie de la placa base:","MXL4250JFM"
"Asset Tag:","MXL4250JFM"
"Ubicación en el chasis de la:"," "

Caja del sistema

"Fabricante:","Hewlett-Packard"
"Tipo de caja:","Desktop"
"Versión:"," "
"Número de serie:","MXL4250JFM"
"Asset Tag Number:","MXL4250JFM"

Cadenas de texto OEM


































Opciones de configuración del sistema



Hardware Security

"Power-on Password:","Deshabilitado"
"Keyboard Password:","Not implemented"
"Administrator Password:","Deshabilitado"
"Front Panel Reset:","Not implemented"

Información de arranque del sistema

"Estado de arranque:","No ocurrió ningún error"

Dispositivo de gestión

"Descripción del aparato:","LM78-1"
"Tipo de dispositivo:","National Semiconductor LM78"
"Device Address:","I/O: 0"

Sonda de voltaje

"Descripción:","LM78A"
"Location:","Desconocido"
"Status:","Desconocido"
"Maximum Value:","Unknown"
"Minimum Value:","Unknown"
"Resolution:","Unknown"
"Tolerance:","Unknown"
"Accuracy:","Unknown"

Management Device Threshold Data


Componente de dispositivo de gestión


Probeta de temperatura

"Descripción:","LM78A"
"Location:","Unknown"
"Status:","Unknown"
"Maximum Value:","Unknown"
"Minimum Value:","Unknown"
"Nominal Value:","Unknown"
"Resolution:","Unknown"
"Tolerance:","Unknown"
"Accuracy:","Unknown"

Management Device Threshold Data


Componente de dispositivo de gestión


Dispositivo de enfriamiento

"Escribe:","Chip Fan"
"Descripción:","CPU Fan"
"Status:","OK"

Management Device Threshold Data


Componente de dispositivo de gestión


Dispositivo de enfriamiento

"Escribe:","Cabinet Fan"
"Descripción:","SYSTEM Fan"
"Status:","OK"

Management Device Threshold Data


Componente de dispositivo de gestión


Sonda de corriente eléctrica

"Descripción:","ABC"
"Location:","Desconocido"
"Status:","Desconocido"
"Maximum Value:","Unknown"
"Minimum Value:","Unknown"
"Resolution:","Unknown"
"Tolerance:","Unknown"
"Accuracy:","Unknown"

Management Device Threshold Data


Componente de dispositivo de gestión


Fuente de alimentación del sistema

"Location:"," "
"Nombre del dispositivo:"," "
"Fabricante:"," "
"Número de serie:"," "
"Asset Tag Number:"," "
"Model Part Number:","Standard Efficiency"
"Revision Level:"," "
"Power Supply Status:","Presente"
"Power Supply Type:","Switching"
"Estado de energía:","OK"
"Hot replaceable:","No"
"Unplugged from wall:","No"

Dispositivo a bordo

"Descripción del aparato:"," Onboard IGD"
"Tipo de dispositivo:","Video Adapter"
"Estado del dispositivo:","Activado"

Dispositivo a bordo

"Descripción del aparato:"," Onboard LAN"
"Tipo de dispositivo:","Ethernet Adapter"
"Estado del dispositivo:","Activado"

Dispositivo a bordo

"Descripción del aparato:"," Onboard Audio"
"Tipo de dispositivo:","Unknown"
"Estado del dispositivo:","Activado"

L1 CACHE

"Designación de enchufe:","L1 CACHE"
"Estado de caché:","Activado"
"Ubicación de la caché:","Interno"
"Tipo de caché:","L1 Unified"
"Esquema de caché:","Write-Back"
"Tipo de SRAM admitido:","Pipeline Burst"
"Tipo de SRAM actual:","Pipeline Burst"
"Velocidad de caché:","1 ns"
"Tipo de corrección de errores:","Multi-bit ECC"
"Tamaño máximo de caché:","256 KBytes"
"Tamaño de caché instalado:","256 KBytes"
"Asociatividad de caché:","2-way Set-Associative"

L2 CACHE

"Designación de enchufe:","L2 CACHE"
"Estado de caché:","Activado"
"Ubicación de la caché:","Interno"
"Tipo de caché:","L2 Unified"
"Esquema de caché:","Write-Back"
"Tipo de SRAM admitido:","Pipeline Burst"
"Tipo de SRAM actual:","Pipeline Burst"
"Velocidad de caché:","1 ns"
"Tipo de corrección de errores:","Multi-bit ECC"
"Tamaño máximo de caché:","2048 KBytes"
"Tamaño de caché instalado:","2048 KBytes"
"Asociatividad de caché:","16-way Set-Associative"

Procesador

"Fabricante del procesador:","AuthenticAMD"
"Processor Version:","AMD A4-5000 APU with Radeon(TM) HD Graphics    "
"Frecuencia externa:","100 MHz"
"Frecuencia máxima admitida:","1500 MHz"
"Frecuencia actual:","1500 MHz"
"Zócalo de CPU:","Poblada"
"Estado de la CPU:","Activado"
"Tipo de procesador:","Procesador central"
"Voltaje del procesador:","1.0 V"
"Actualización del procesador:","None"
"Designación de enchufe:","P0"

Idioma del BIOS















Dispositivos de memoria


Matriz de memoria física

"Ubicación de la matriz:","System board"
"Uso de matriz:","System memory"
"Método de detección de errores:","Ninguna"
"Capacidad de memoria:","8 GBytes"
"Dispositivos de memoria:","2"

Memory Array Mapped Address

"Dirección inicial:","00000000"
"Dirección final:","007FFFFF"
"Ancho de partición:","255"

Dispositivo de memoria

"Ancho total:","64 bits"
"Ancho de datos:","64 bits"
"Tamaño del dispositivo:","4096 MBytes"
"Factor de forma del dispositivo:","DIMM"
"Localizador de dispositivos:","DIMM 2"
"Bank Locator:","BANK 0  "
"Tipo de dispositivo:","DDR3 SDRAM"
"Detalle del tipo de dispositivo:","Synchronous"
"Velocidad de memoria:","1600 MHz"
"Fabricante:","Elpida         "
"Número de serie:","86C71EAF"
"Número de parte:","EBJ40UG8EFW0-GN-F "
"Asset Tag:","A1_AssetTagNum0"

Dispositivo de memoria

"Ancho total:","64 bits"
"Ancho de datos:","64 bits"
"Tamaño del dispositivo:","4096 MBytes"
"Factor de forma del dispositivo:","DIMM"
"Localizador de dispositivos:","DIMM 1"
"Bank Locator:","BANK 1  "
"Tipo de dispositivo:","DDR3 SDRAM"
"Detalle del tipo de dispositivo:","Synchronous"
"Velocidad de memoria:","1600 MHz"
"Fabricante:",""
"Número de serie:","00000000"
"Número de parte:","PSD34G16002"
"Asset Tag:","A1_AssetTagNum1"

Memory Device Mapped Address

"Dirección inicial:","00000000"
"Dirección final:","003FFFFF"
"Partition Row Position:","Desconocido"
"Interleave Position:","Desconocido"
"Interleave Data Depth:","Desconocido"

Memory Device Mapped Address

"Dirección inicial:","00400000"
"Dirección final:","007FFFFF"
"Partition Row Position:","Desconocido"
"Interleave Position:","Desconocido"
"Interleave Data Depth:","Desconocido"

Conectores de puerto


Mouse Port

"Tipo de puerto:","Mouse Port"
"Referencia interna:","J1A1"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","PS2Mouse"
"Tipo de conector externo:","PS/2"

Keyboard Port

"Tipo de puerto:","Keyboard Port"
"Referencia interna:","J1A1"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","Keyboard"
"Tipo de conector externo:","PS/2"

Network Port

"Tipo de puerto:","Network Port"
"Referencia interna:","J5A1"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","LAN"
"Tipo de conector externo:","RJ-45"

Serial Port 16550A Compatible

"Tipo de puerto:","Serial Port 16550A Compatible"
"Referencia interna:","J2A2A"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","COM A"
"Tipo de conector externo:","DB-9 pin male"

Serial Port 16550A Compatible

"Tipo de puerto:","Serial Port 16550A Compatible"
"Referencia interna:","J2A2A"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","LPT"
"Tipo de conector externo:","DB-9 pin male"

Video Port

"Tipo de puerto:","Video Port"
"Referencia interna:","J2A2B"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","Video"
"Tipo de conector externo:","DB-15 pin female"

USB

"Tipo de puerto:","USB"
"Referencia interna:","J3A1"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","USB0"
"Tipo de conector externo:","Access Bus (USB)"

USB

"Tipo de puerto:","USB"
"Referencia interna:","J3A1"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","USB1"
"Tipo de conector externo:","Access Bus (USB)"

USB

"Tipo de puerto:","USB"
"Referencia interna:","J3A1"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","USB2"
"Tipo de conector externo:","Access Bus (USB)"

USB

"Tipo de puerto:","USB"
"Referencia interna:","J3A1"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","USB3"
"Tipo de conector externo:","Access Bus (USB)"

USB

"Tipo de puerto:","USB"
"Referencia interna:","J5A1"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","USB4"
"Tipo de conector externo:","Access Bus (USB)"

USB

"Tipo de puerto:","USB"
"Referencia interna:","J5A1"
"Tipo de conector interno:","Ninguna"
"Referencia externa:","USB5"
