
COORDINACION-CA

"Nombre del computadora:","COORDINACION-CA"
"Compensación de voltaje:","0 mV"
"IccMax:","31.00 A"
"Compensación de voltaje:","Soportado"
"Anulación de voltaje:","No soportado"
"Relación de overclocking:","No soportado"
"Límite de relación de fusión:","N/A"
"Límite de relación OC:","N/A"
"Modo de voltaje:","Interpolativo"
"Compensación de voltaje:","0 mV"
"IccMax:","6.00 A"
"Caché L1:","Instruction: 4 x 32 KBytes, Data: 4 x 32 KBytes"
"Caché L2:","Integrated: 4 x 256 KBytes"
"Caché L3:","6 MBytes"
"Instruction TLB:","2MB/4MB Pages, Fully associative, 8 entries"
"Data TLB:","4 KB Pages, 4-way set associative, 64 entries"
"FPU on Chip","Presente"
"Enhanced Virtual-86 Mode","Presente"
"I/O Breakpoints","Presente"
"Page Size Extensions","Presente"
"Time Stamp Counter","Presente"
"Pentium-style Model Specific Registers","Presente"
"Physical Address Extension","Presente"
"Machine Check Exception","Presente"
"CMPXCHG8B Instruction","Presente"
"APIC On Chip / PGE (AMD)","Presente"
"Fast System Call","Presente"
"Memory Type Range Registers","Presente"
"Page Global Feature","Presente"
"Machine Check Architecture","Presente"
"CMOV Instruction","Presente"
"Page Attribute Table","Presente"
"36-bit Page Size Extensions","Presente"
"Processor Number","No presente"
"CLFLUSH Instruction","Presente"
"Debug Trace and EMON Store","Presente"
"Internal ACPI Support","Presente"
"MMX Technology","Presente"
"Fast FP Save/Restore (IA MMX-2)","Presente"
"Streaming SIMD Extensions","Presente"
"Streaming SIMD Extensions 2","Presente"
"Self-Snoop","Presente"
"Multi-Threading Capable","Presente"
"Automatic Clock Control","Presente"
"IA-64 Processor","No presente"
"Signal Break on FERR","Presente"
"Virtual Machine Extensions (VMX)","Presente"
"Safer Mode Extensions (Intel TXT)","No presente"
"Streaming SIMD Extensions 3","Presente"
"Supplemental Streaming SIMD Extensions 3","Presente"
"Streaming SIMD Extensions 4.1","Presente"
"Streaming SIMD Extensions 4.2","Presente"
"AVX Support","Presente"
"Fused Multiply Add (FMA)","Presente"
"Carryless Multiplication (PCLMULQDQ)/GFMUL","Presente"
"CMPXCHG16B Support","Presente"
"MOVBE Instruction","Presente"
"POPCNT Instruction","Presente"
"XSAVE/XRSTOR/XSETBV/XGETBV Instructions","Presente"
"XGETBV/XSETBV OS Enabled","Presente"
"Float16 Instructions","Presente"
"AES Cryptography Support","Presente"
"Random Number Read Instruction (RDRAND)","Presente"
"Extended xAPIC","Presente"
"MONITOR/MWAIT Support","Presente"
"Thermal Monitor 2","Presente"
"Enhanced SpeedStep Technology","Presente"
"L1 Context ID","No presente"
"Send Task Priority Messages Disabling","Presente"
"Processor Context ID","Presente"
"Direct Cache Access","No presente"
"TSC-deadline Timer","Presente"
"Performance/Debug Capability MSR","Presente"
"IA32 Debug Interface Support","Presente"
"64-Bit Debug Store","Presente"
"CPL Qualified Debug Store","Presente"
"64-bit Extensions","Presente"
"RDTSCP and TSC_AUX Support","Presente"
"1 GB large page support","Presente"
"No Execute","Presente"
"SYSCALL/SYSRET Support","Presente"
"Bit Manipulation Instructions Set 1","Presente"
"Bit Manipulation Instructions Set 2","Presente"
"Advanced Vector Extensions 2 (AVX2)","Presente"
"Advanced Vector Extensions 512 (AVX-512) Foundation","No presente"
"AVX-512 Prefetch Instructions","No presente"
"AVX-512 Exponential and Reciprocal Instructions","No presente"
"AVX-512 Conflict Detection Instructions","No presente"
"AVX-512 Doubleword and Quadword Instructions","No presente"
"AVX-512 Byte and Word Instructions","No presente"
"AVX-512 Vector Length Extensions","No presente"
"AVX-512 52-bit Integer FMA Instructions","No presente"
"Secure Hash Algorithm (SHA) Extensions","No presente"
"Software Guard Extensions (SGX) Support","Presente"
"Supervisor Mode Execution Protection (SMEP)","Presente"
"Supervisor Mode Access Prevention (SMAP)","Presente"
"Hardware Lock Elision (HLE)","No presente"
"Restricted Transactional Memory (RTM)","No presente"
"Memory Protection Extensions (MPX)","Presente"
"Read/Write FS/GS Base Instructions","Presente"
"Enhanced Performance String Instruction","Presente"
"INVPCID Instruction","Presente"
"RDSEED Instruction","Presente"
"Multi-precision Add Carry Instructions (ADX)","Presente"
"PCOMMIT Instructions","No presente"
"CLFLUSHOPT Instructions","Presente"
"CLWB Instructions","No presente"
"TSC_THREAD_OFFSET","Presente"
"Platform Quality of Service Monitoring (PQM)","No presente"
"Platform Quality of Service Enforcement (PQE)","No presente"
"FPU Data Pointer updated only on x87 Exceptions","No presente"
"Deprecated FPU CS and FPU DS","Presente"
"Intel Processor Trace","Presente"
"PREFETCHWT1 Instruction","No presente"
"AVX-512 Vector Bit Manipulation Instructions","No presente"
"AVX-512 Vector Bit Manipulation Instructions 2","No presente"
"AVX-512 Galois Fields New Instructions","No presente"
"AVX-512 Vector AES","No presente"
"AVX-512 Vector Neural Network Instructions","No presente"
"AVX-512 Bit Algorithms","No presente"
"AVX-512 Carry-Less Multiplication Quadword (VPCLMULQDQ)","No presente"
"AVX-512 Vector POPCNT (VPOPCNTD/VPOPCNTQ)","No presente"
"User-Mode Instruction Prevention","No presente"
"Protection Keys for User-mode Pages","No presente"
"OS Enabled Protection Keys","No presente"
"Wait and Pause Enhancements (WAITPKG)","No presente"
"Total Memory Encryption","No presente"
"Key Locker","No presente"
"57-bit Linear Addresses, 5-level Paging","No presente"
"Read Processor ID","No presente"
"OS Bus-Lock Detection","No presente"
"Cache Line Demote","No presente"
"MOVDIRI: Direct Stores","No presente"
"MOVDIR64B: Direct Stores","No presente"
"ENQCMD: Enqueue Stores","No presente"
"SGX Launch Configuration","No presente"
"Protection Keys for Supervisor-Mode Pages","No presente"
"Control-Flow Enforcement Technology (CET) Shadow Stack","No presente"
"Attestation Services for Intel SGX","No presente"
"AVX-512 4 x Vector Neural Network Instructions Word Variable Precision","No presente"
"AVX-512 4 x Fused Multiply Accumulation Packed Single Precision","No presente"
"Fast Short REP MOV","No presente"
"User Interrupts","No presente"
"AVX-512 VP2INTERSECT Support","No presente"
"AVX-512 FP16","No presente"
"MD_CLEAR Support","Presente"
"IA32_MCU_OPT_CTRL MSR Support","No presente"
"Restricted Transactional Memory (RTM) Always Abort","No presente"
"Restricted Transactional Memory (RTM) Force Abort","No presente"
"SERIALIZE","No presente"
"Hybrid Processor","No presente"
"TSX Suspend Load Address Tracking","No presente"
"Platform Configuration (PCONFIG)","No presente"
"Architectural LBRs","No presente"
"Indirect Branch Restricted Speculation (IBRS), Indirect Branch Predictor Barrier (IBPB)","Presente"
"Single Thread Indirect Branch Predictors (STIBP)","Presente"
"L1D_FLUSH Support","Presente"
"IA32_ARCH_CAPABILITIES MSR","Presente"
"IA32_CORE_CAPABILITIES MSR","No presente"
"Speculative Store Bypass Disable (SSBD)","Presente"
"Control-Flow Enforcement Technology (CET) Indirect Branch Tracking","No presente"
"Advanced Matrix Extensions (AMX) Tile Architecture","No presente"
"Advanced Matrix Extensions (AMX) bfloat16 Support","No presente"
"Advanced Matrix Extensions (AMX) 8-bit Integer Operations","No presente"
"SHA512 Instructions","No presente"
"SM3 Instructions","No presente"
"SM4 Instructions","No presente"
"Advanced Matrix Extensions (AMX) FP16 Instructions","No presente"
"AVX (VEX-encoded) Vector Neural Network Instructions","No presente"
"AVX-512 BFLOAT16 Instructions","No presente"
"Fast Zero-Length MOVSB","No presente"
"Fast Short STOSB","No presente"
"Fast Short CMPSB, SCASB","No presente"
"History Reset","No presente"
"Linear Address Masking","No presente"
"Linear Address Space Separation","No presente"
"RAO-INT Instructions","No presente"
"CMPccXADD Instructions","No presente"
"Flexible Return and Event Delivery (FRED)","No presente"
"LKGS Instruction","No presente"
"WRMSRNS Instruction","No presente"
"NMI-source Reporting","No presente"
"AVX-IFMA Instructions","No presente"
"RD/WR MSRLIST Instructions","No presente"
"INVD Execution Prevention After BIOS-Done","No presente"
"Protected Processor Inventory Number (IA32_PPIN) Support","No presente"
"PBNDKB Instruction","No presente"
"AVX-VNNI-INT8 Instructions","No presente"
"AVX-VNNI-INT16 Instructions","No presente"
"AVX-NE-CONVERT Instructions","No presente"
"PREFETCHIT0/1 Instructions","No presente"
"URDMSR/UWRMSR Instructions","No presente"
"AMX-COMPLEX Instructions","No presente"
"CET Supervisor Shadow-Stack","No presente"
"UIRET Support","No presente"
"Advanced Vector Extensions 10 (AVX10)","No presente"
"Advanced Performance Extensions (APX) Foundation","No presente"
"Not Exhibiting MXCSR Configuration Dependent Timing (MCDT)","No presente"
"UC-Lock Disable Feature","No presente"
"Rogue Data Cache Load (RDCL):","Not Susceptible"
"Speculative Store Bypass (SSB):","Susceptible"
"Microarchitectural Data Sampling (MDS):","Not Susceptible"
"MCE on modifying code page size without TLB invalidation:","Susceptible"
"Transactional Asynchronous Abort (TAA):","Affected"
"Shared Buffers Data Read (SBDR), Sideband Stale Data Propagator (SSDP) Vulnerability:","Affected"
"Fill Buffer Stale Data Propagator (FBSDP) Vulnerability:","Affected"
"Primary Stale Data Propagator (PSDP) Vulnerability:","Affected"
"Post-barrier Return Stack Buffer Predictions Vulnerability:","Affected"
"Indirect Branch Restriction Speculation (IBRS):","Soportado"
"RTM_DISABLE and TSX_CPUID_CLEAR:","No soportado"
"RSB Alternate:","No soportado"
"L1D Flush on VM Entry Not Needed:","Soportado"
"Data Operand Independent Timing Mode (DOITM):","No soportado"
"Control de filtrado de energía:","No soportado"
"Data Operand Independent Timing Mode:","No soportado"
"RRSBA Alternate Prediction Behavior:","No soportado"
"BHI_NO Branch Prediction Behavior:","No soportado"
"MCU Enumeration MSR:","No soportado"
"MCU Extended Servicing:","No soportado"
"Thermal Monitor 1:","Soportado, Activado"
"Thermal Monitor 2:","Soportado, Activado"
"Enhanced Intel SpeedStep (GV3):","Soportado, Activado"
"Bi-directional PROCHOT#:","Activado"
"Extended Auto-HALT State C1E:","Activado"
"MLC Streamer Prefetcher","Soportado, Activado"
"MLC Spatial Prefetcher","Soportado, Activado"
"DCU Streamer Prefetcher","Soportado, Activado"
"DCU IP Prefetcher","Soportado, Activado"
"Intel Dynamic Acceleration (IDA) Technology:","No soportado"
"Intel Dynamic FSB Switching:","No soportado"
"Intel Turbo Boost Technology:","Soportado, Activado"
"Programmable Ratio Limits:","Soportado, Deshabilitado"
"Programmable TDC/TDP Limits:","Soportado, Deshabilitado"
"Hardware Duty Cycling:","Soportado, Activado"
"Intel Speed Select:","No soportado"
"Display HD Audio:","Soportado"
"DMI x4 Width:","Soportado"
"DRAM ECC:","No soportado"
"VT-d:","Soportado"
"DMI in Gen2 Mode:","No soportado"
"PEG in Gen2 Mode:","No soportado"
"1N Mode DDR Timings:","Soportado"
"Camarillo (DTT) Device:","Soportado"
"2 DIMMs per Channel:","No soportado"
"X2APIC:","Soportado"
"Dual Memory Channel:","Soportado"
"Integrated GPU (IGD):","Activado"
"DDR Overclocking:","Deshabilitado"
"Overclocking by DSKU:","Deshabilitado"
"DDR3L:","Soportado"
"Tamaño máximo de memoria por canal:","64 GB (unlimited)"
"Soporte de frecuencia DDR (RefClk de 100 MHz):","No soportado"
"Overclocking:","Deshabilitado"
"Hyper-Threading (SMT):","Soportado"
"Gráficos aditivos:","Deshabilitado"
"PCIe Gen 3:","No soportado"
"DMI Gen 3:","No soportado"
"HDCP:","Soportado"
"DDR4:","Soportado"
"LPDDR3:","Soportado"
"BCLK OC Limit:","100 MHz"
"Frecuencia máxima admitida de LPDDR3:","1067 MHz"
"Frecuencia máxima admitida de DDR4:","1200 MHz"
"Estado de SVID:","Activado"
"VCC VR:","Richtek (0x21), IMVP8"
"VR Thermal Sensor:","No soportado"
"Tamaño máximo de dirección física:","39-bit (512 GBytes)"
"Tamaño máximo de dirección virtual:","48-bit (256 TBytes)"
"Range C0000000-100000000 (3072MB-4096MB) Type:","Uncacheable (UC)"
"Range A0000000-C0000000 (2560MB-3072MB) Type:","Uncacheable (UC)"
"Range 90000000-A0000000 (2304MB-2560MB) Type:","Uncacheable (UC)"
"Range 8E000000-90000000 (2272MB-2304MB) Type:","Uncacheable (UC)"
"Range 8D000000-8E000000 (2256MB-2272MB) Type:","Uncacheable (UC)"
"Range 2000000000-4000000000 (131072MB-262144MB) Type:","Uncacheable (UC)"
"Range 1000000000-2000000000 (65536MB-131072MB) Type:","Uncacheable (UC)"
"Range 800000000-1000000000 (32768MB-65536MB) Type:","Uncacheable (UC)"

Tarjeta madre

"Nombre de marca de computadora:","HP HP 240 G7 Notebook PC"
"Modelo de placa base:","HP 852C"
"Chipset de la placa base:","Intel Cannon Lake-U PCH-LP Premium"
"Ranuras para placa base:","4xPCI Express x1, 1xPCI Express x4"
"Versión de PCI Express admitida:","v3.0"
"Versión USB admitida:","v3.1"
"Fabricante de BIOS:","Insyde"
"Fecha de BIOS (mm/dd/yyyy):","12/13/2019"
"Versión de BIOS:","F.53"
"UEFI BIOS:","Capaz"
"Chip Super-IO / LPC:","ITE IT8987"
"Chip del módulo de plataforma segura (TPM):","Hardware TPM, version 2.0"

Dispositivos ACPI


ELAN Touchpad

"Nombre del dispositivo:","ELAN Touchpad"
"IRQ:","12"
"IRQ:","12"

Standard PS/2 Keyboard

"Nombre del dispositivo:","Standard PS/2 Keyboard"
"I/O Port:","0060"
"I/O Port:","0000"
"I/O Port:","0060"
"I/O Port:","0064"
"IRQ:","1"

Motherboard resources

"Nombre del dispositivo:","Motherboard resources"
"I/O Port:","1854 - 1857"
"I/O Port:","1854 - 1857"

Trusted Platform Module 2.0

"Nombre del dispositivo:","Trusted Platform Module 2.0"
"Ubicación de la memoria:","FED40000 - FED44FFF"
"Ubicación de la memoria:","FED40000 - FED44FFF"

Programmable interrupt controller

"Nombre del dispositivo:","Programmable interrupt controller"
"I/O Port:","0020 - 0021"
"I/O Port:","0030 - 0031"
"I/O Port:","00A0 - 00A1"
"I/O Port:","00B0 - 00B1"
"IRQ:","1114369"
"IRQ:","1114369"
"IRQ:","1114369"
"IRQ:","1114369"
"I/O Port:","0020 - 0021"
"I/O Port:","0024 - 0025"
"I/O Port:","0028 - 0029"
"I/O Port:","002C - 002D"
"I/O Port:","0030 - 0031"
"I/O Port:","0034 - 0035"
"I/O Port:","0038 - 0039"
"I/O Port:","003C - 003D"
"I/O Port:","00A0 - 00A1"
"I/O Port:","00A4 - 00A5"
"I/O Port:","00A8 - 00A9"
"I/O Port:","00AC - 00AD"
"I/O Port:","00B0 - 00B1"
"I/O Port:","00B4 - 00B5"
"I/O Port:","00B8 - 00B9"
"I/O Port:","00BC - 00BD"
"I/O Port:","04D0 - 04D1"

System timer

"Nombre del dispositivo:","System timer"
"I/O Port:","0040 - 0043"
"DMA:","0"
"I/O Port:","0040 - 0043"
"I/O Port:","0050 - 0053"
"IRQ:","0"

High precision event timer

"Nombre del dispositivo:","High precision event timer"
"Ubicación de la memoria:","FED00000 - FED003FF"
"Ubicación de la memoria:","FED00000 - FED003FF"

PCI Express Root Complex

"Nombre del dispositivo:","PCI Express Root Complex"
"I/O Port:","0000 - FFFFFFFF"
"Ubicación de la memoria:","000A0000 - 000BFFFF"
"I/O Port:","0000 - 0CF7"
"I/O Port:","0D00 - FFFF"
"Ubicación de la memoria:","000A0000 - 000BFFFF"
"Ubicación de la memoria:","8F800000 - DFFFFFFF"
"Ubicación de la memoria:","FC800000 - FE7FFFFF"

Motherboard resources

"Nombre del dispositivo:","Motherboard resources"
"Ubicación de la memoria:","FED10000 - FED17FFF"
"Ubicación de la memoria:","FED20000 - FED3FFFF"
"Ubicación de la memoria:","FED10000 - FED17FFF"
"Ubicación de la memoria:","FED18000 - FED18FFF"
"Ubicación de la memoria:","FED19000 - FED19FFF"
"Ubicación de la memoria:","E0000000 - EFFFFFFF"
"Ubicación de la memoria:","FED20000 - FED3FFFF"
"Ubicación de la memoria:","FED90000 - FED93FFF"
"Ubicación de la memoria:","FED45000 - FED8FFFF"
"Ubicación de la memoria:","FEE00000 - FEEFFFFF"

Motherboard resources

"Nombre del dispositivo:","Motherboard resources"
"I/O Port:","002E - 002F"
"I/O Port:","0065"
"I/O Port:","0000 - 006F"
"I/O Port:","0092"
"IRQ:","1114369"
"I/O Port:","002E - 002F"
"I/O Port:","004E - 004F"
"I/O Port:","0061"
"I/O Port:","0063"
"I/O Port:","0065"
"I/O Port:","0067"
"I/O Port:","0070"
"I/O Port:","0080"
"I/O Port:","0092"
"I/O Port:","00B2 - 00B3"
"I/O Port:","0680 - 069F"
"I/O Port:","164E - 164F"

Motherboard resources

"Nombre del dispositivo:","Motherboard resources"
"I/O Port:","2000 - 20FE"
"I/O Port:","2000 - 20FE"

Motherboard resources

"Nombre del dispositivo:","Motherboard resources"
"Ubicación de la memoria:","FD000000 - FD69FFFF"
"Ubicación de la memoria:","FE200000 - FE7FFFFF"
"I/O Port:","1800 - 18FE"
"Ubicación de la memoria:","FD000000 - FD69FFFF"
"Ubicación de la memoria:","FD6B0000 - FD6CFFFF"
"Ubicación de la memoria:","FD6F0000"
"Ubicación de la memoria:","FE000000"
"Ubicación de la memoria:","FE200000"
"Ubicación de la memoria:","FF000000"

Motherboard resources

"Nombre del dispositivo:","Motherboard resources"
"Ubicación de la memoria:","40000000 - 403FFFFF"
"Ubicación de la memoria:","40000000 - 403FFFFF"

Microsoft ACPI-Compliant Embedded Controller

"Nombre del dispositivo:","Microsoft ACPI-Compliant Embedded Controller"
"I/O Port:","0062"
"I/O Port:","0062"
"I/O Port:","0066"

SMBIOS DMI


BIOS

"Fabricante de BIOS:","Insyde"
"Versión de BIOS:","F.53"
"Fecha de lanzamiento del BIOS (mm/dd/yyyy):","12/13/2019"
"Segmento de inicio de BIOS:","E000"
"Tamaño de la BIOS:","13312 KBytes"
"Versión del BIOS del sistema:","15.53"
"Versión del firmware del Embedded Controller:","16.21"
"ISA Support:","No presente"
"MCA Support:","No presente"
"EISA Support:","No presente"
"PCI Support:","Presente"
"PC Card (PCMCIA) Support:","No presente"
"Plug-and-Play Support:","No presente"
"APM Support:","No presente"
"Flash BIOS:","Presente"
"BIOS Shadow:","Presente"
"VL-VESA Support:","No presente"
"ESCD Support:","No presente"
"Boot from CD:","Presente"
"Selectable Boot:","Presente"
"BIOS ROM Socketed:","No presente"
"Boot from PC Card:","No presente"
"EDD Support:","Presente"
"NEC PC-98 Support:","No presente"
"ACPI Support:","Presente"
"USB Legacy Support:","Presente"
"AGP Support:","No presente"
"I2O Boot Support:","No presente"
"LS-120 Boot Support:","No presente"
"ATAPI ZIP Drive Boot Support:","No presente"
"IEE1394 Boot Support:","No presente"
"Smart Battery Support:","No presente"
"BIOS Boot Specification Support:","Presente"
"Function key-initiated Network Service Boot Support:","No presente"
"Targeted Content Distribution Support:","Presente"
"UEFI Specification Support:","Presente"
"Virtual Machine:","No presente"

Sistema

"Fabricante del sistema:","HP"
"Nombre del producto:","HP 240 G7 Notebook PC"
"Version del producto:","Type1ProductConfigId"
"Número de serie del producto:","5CG0245B6M"
"UUID:","{37DA74DF-566B-E44C-A8CE-0C5B0F166EFA}"
"SKU Number:","6MK89LT#ABM"
"Family:","103C_5336AN HP 200"

tarjeta madre

"Fabricante de la placa base:","HP"
"Nombre de la placa base:","852C"
"Versión de la placa base:","16.21"
"Número de serie de la placa base:","PHSJN00WBDU15Y"
"Asset Tag:","Type2 - Board Asset Tag"
"Ubicación en el chasis de la:","Type2 - Board Chassis Location"

Caja del sistema

"Fabricante:","HP"
"Tipo de caja:","Notebook"
"Versión:","Chassis Version"
"Número de serie:","5CG0245B6M"
"Asset Tag Number:","5CG0245B6M"

Procesador

"Fabricante del procesador:","Intel(R) Corporation"
"Processor Version:","Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz"
"Frecuencia externa:","100 MHz"
"Frecuencia máxima admitida:","8300 MHz"
"Frecuencia actual:","1584 MHz"
"Zócalo de CPU:","Poblada"
"Estado de la CPU:","Activado"
"Tipo de procesador:","Procesador central"
"Voltaje del procesador:","0.7 V"
"Actualización del procesador:","Socket BGA1528"
"Designación de enchufe:","U3E1"

Caché L1

"Designación de enchufe:","L1 Cache"
"Estado de caché:","Activado"
"Ubicación de la caché:","Interno"
"Tipo de caché:","L1 Unified"
"Esquema de caché:","Write-Back"
"Tipo de SRAM admitido:","Synchronous"
"Tipo de SRAM actual:","Synchronous"
"Velocidad de caché:","Unknown"
"Tipo de corrección de errores:","Parity"
"Tamaño máximo de caché:","256 KBytes"
"Tamaño de caché instalado:","256 KBytes"
"Asociatividad de caché:","8-way Set-Associative"

Caché L2

"Designación de enchufe:","L2 Cache"
"Estado de caché:","Activado"
"Ubicación de la caché:","Interno"
"Tipo de caché:","L2 Unified"
"Esquema de caché:","Write-Back"
"Tipo de SRAM admitido:","Synchronous"
"Tipo de SRAM actual:","Synchronous"
"Velocidad de caché:","Unknown"
"Tipo de corrección de errores:","Single-bit ECC"
"Tamaño máximo de caché:","1024 KBytes"
"Tamaño de caché instalado:","1024 KBytes"
"Asociatividad de caché:","4-way Set-Associative"

Caché L3

"Designación de enchufe:","L3 Cache"
"Estado de caché:","Activado"
"Ubicación de la caché:","Interno"
"Tipo de caché:","L3 Unified"
"Esquema de caché:","Write-Back"
"Tipo de SRAM admitido:","Synchronous"
"Tipo de SRAM actual:","Synchronous"
"Velocidad de caché:","Unknown"
"Tipo de corrección de errores:","Multi-bit ECC"
"Tamaño máximo de caché:","6144 KBytes"
"Tamaño de caché instalado:","6144 KBytes"
"Asociatividad de caché:","12-way Set-Associative"

Cadenas de texto OEM











Opciones de configuración del sistema










Idioma del BIOS







Group Associations


Group Associations


Group Associations


System Event Log


Dispositivo señalador incorporado

"Tipo de dispositivo:","Touch Pad"
"Interface Type:","PS/2"
"Number of Buttons:","4"

Batería portátil

"Ubicación de la batería:","Primary"
"Fabricante de la batería:","333-54-5D-A"
"Fecha de fabricacion:","05/04/2020"
"Número de serie:","46686 05/04/2020"
"Nombre del dispositivo:","HT03041"
"Química del dispositivo:","Lithium-ion"
"Capacidad de diseño:","41753 mWh"
"Voltaje de diseño:","11550 mV"
"SBDS Verison Number:","NULL"
"Max. Error in Battery Data:","2"
"SBDS Número de serie:","46686"
"SBDS Fecha de fabricacion:","5/4/40"
"SBDS Química del dispositivo:","LION"

Hardware Security

"Power-on Password:","Not implemented"
"Keyboard Password:","Not implemented"
"Administrator Password:","Deshabilitado"
"Front Panel Reset:","Not implemented"

Sonda de voltaje

"Descripción:","Voltage Probe Description"
"Location:","Desconocido"
"Status:","Desconocido"
"Maximum Value:","Unknown"
"Minimum Value:","Unknown"
"Resolution:","Unknown"
"Tolerance:","Unknown"
"Accuracy:","Unknown"

Dispositivo de enfriamiento

"Escribe:","Fan"
"Descripción:","Cooling Device Description"
"Status:","OK"
"Nominal Speed:","8192 RPM"

Probeta de temperatura

"Descripción:","Temperature Probe Description"
"Location:","Unknown"
"Status:","Unknown"
"Maximum Value:","Unknown"
"Minimum Value:","Unknown"
"Nominal Value:","Unknown"
"Resolution:","Unknown"
"Tolerance:","Unknown"
"Accuracy:","Unknown"

Información de arranque del sistema

"Estado de arranque:","No ocurrió ningún error"

Fuente de alimentación del sistema

"Location:","OEM Define 0"
"Nombre del dispositivo:","OEM Define 1"
"Fabricante:","OEM Define 2"
"Número de serie:","OEM Define 3"
"Asset Tag Number:","OEM Define 4"
"Model Part Number:","OEM Define 5"
"Revision Level:","OEM Define 6"
"Max Power Capacity:","75 mW"
"Power Supply Status:","No presente"
"Power Supply Type:","Regulator"
"Estado de energía:","OK"
"Hot replaceable:","No"
"Unplugged from wall:","Sí"

Additional Information




Dispositivo a bordo

"Descripción del aparato:","IGD"
"Tipo de dispositivo:","Video Adapter"
"Estado del dispositivo:","Deshabilitado"

Dispositivo a bordo

"Descripción del aparato:","Hanksville Gbe Lan Connection"
