
FISIOTERAPIA-CA

"Nombre del computadora:","FISIOTERAPIA-CA"
"AVX-512 Vector Length Extensions","No presente"
"AVX-512 52-bit Integer FMA Instructions","No presente"
"Secure Hash Algorithm (SHA) Extensions","No presente"
"Software Guard Extensions (SGX) Support","No presente"
"Supervisor Mode Execution Protection (SMEP)","Presente"
"Supervisor Mode Access Prevention (SMAP)","No presente"
"Hardware Lock Elision (HLE)","No presente"
"Restricted Transactional Memory (RTM)","No presente"
"Memory Protection Extensions (MPX)","No presente"
"Read/Write FS/GS Base Instructions","Presente"
"Enhanced Performance String Instruction","Presente"
"INVPCID Instruction","Presente"
"RDSEED Instruction","No presente"
"Multi-precision Add Carry Instructions (ADX)","No presente"
"PCOMMIT Instructions","No presente"
"CLFLUSHOPT Instructions","No presente"
"CLWB Instructions","No presente"
"TSC_THREAD_OFFSET","Presente"
"Platform Quality of Service Monitoring (PQM)","No presente"
"Platform Quality of Service Enforcement (PQE)","No presente"
"FPU Data Pointer updated only on x87 Exceptions","No presente"
"Deprecated FPU CS and FPU DS","Presente"
"Intel Processor Trace","No presente"
"PREFETCHWT1 Instruction","No presente"
"AVX-512 Vector Bit Manipulation Instructions","No presente"
"AVX-512 Vector Bit Manipulation Instructions 2","No presente"
"AVX-512 Galois Fields New Instructions","No presente"
"AVX-512 Vector AES","No presente"
"AVX-512 Vector Neural Network Instructions","No presente"
"AVX-512 Bit Algorithms","No presente"
"AVX-512 Carry-Less Multiplication Quadword (VPCLMULQDQ)","No presente"
"AVX-512 Vector POPCNT (VPOPCNTD/VPOPCNTQ)","No presente"
"User-Mode Instruction Prevention","No presente"
"Protection Keys for User-mode Pages","No presente"
"OS Enabled Protection Keys","No presente"
"Wait and Pause Enhancements (WAITPKG)","No presente"
"Total Memory Encryption","No presente"
"Key Locker","No presente"
"57-bit Linear Addresses, 5-level Paging","No presente"
"Read Processor ID","No presente"
"OS Bus-Lock Detection","No presente"
"Cache Line Demote","No presente"
"MOVDIRI: Direct Stores","No presente"
"MOVDIR64B: Direct Stores","No presente"
"ENQCMD: Enqueue Stores","No presente"
"SGX Launch Configuration","No presente"
"Protection Keys for Supervisor-Mode Pages","No presente"
"Control-Flow Enforcement Technology (CET) Shadow Stack","No presente"
"Attestation Services for Intel SGX","No presente"
"AVX-512 4 x Vector Neural Network Instructions Word Variable Precision","No presente"
"AVX-512 4 x Fused Multiply Accumulation Packed Single Precision","No presente"
"Fast Short REP MOV","No presente"
"User Interrupts","No presente"
"AVX-512 VP2INTERSECT Support","No presente"
"AVX-512 FP16","No presente"
"MD_CLEAR Support","Presente"
"IA32_MCU_OPT_CTRL MSR Support","No presente"
"Restricted Transactional Memory (RTM) Always Abort","No presente"
"Restricted Transactional Memory (RTM) Force Abort","No presente"
"SERIALIZE","No presente"
"Hybrid Processor","No presente"
"TSX Suspend Load Address Tracking","No presente"
"Platform Configuration (PCONFIG)","No presente"
"Architectural LBRs","No presente"
"Indirect Branch Restricted Speculation (IBRS), Indirect Branch Predictor Barrier (IBPB)","Presente"
"Single Thread Indirect Branch Predictors (STIBP)","Presente"
"L1D_FLUSH Support","Presente"
"IA32_ARCH_CAPABILITIES MSR","No presente"
"IA32_CORE_CAPABILITIES MSR","No presente"
"Speculative Store Bypass Disable (SSBD)","Presente"
"Control-Flow Enforcement Technology (CET) Indirect Branch Tracking","No presente"
"Advanced Matrix Extensions (AMX) Tile Architecture","No presente"
"Advanced Matrix Extensions (AMX) bfloat16 Support","No presente"
"Advanced Matrix Extensions (AMX) 8-bit Integer Operations","No presente"
"SHA512 Instructions","No presente"
"SM3 Instructions","No presente"
"SM4 Instructions","No presente"
"Advanced Matrix Extensions (AMX) FP16 Instructions","No presente"
"AVX (VEX-encoded) Vector Neural Network Instructions","No presente"
"AVX-512 BFLOAT16 Instructions","No presente"
"Fast Zero-Length MOVSB","No presente"
"Fast Short STOSB","No presente"
"Fast Short CMPSB, SCASB","No presente"
"History Reset","No presente"
"Linear Address Masking","No presente"
"Linear Address Space Separation","No presente"
"RAO-INT Instructions","No presente"
"CMPccXADD Instructions","No presente"
"Flexible Return and Event Delivery (FRED)","No presente"
"LKGS Instruction","No presente"
"WRMSRNS Instruction","No presente"
"NMI-source Reporting","No presente"
"AVX-IFMA Instructions","No presente"
"RD/WR MSRLIST Instructions","No presente"
"INVD Execution Prevention After BIOS-Done","No presente"
"Protected Processor Inventory Number (IA32_PPIN) Support","No presente"
"PBNDKB Instruction","No presente"
"AVX-VNNI-INT8 Instructions","No presente"
"AVX-VNNI-INT16 Instructions","No presente"
"AVX-NE-CONVERT Instructions","No presente"
"PREFETCHIT0/1 Instructions","No presente"
"URDMSR/UWRMSR Instructions","No presente"
"AMX-COMPLEX Instructions","No presente"
"CET Supervisor Shadow-Stack","No presente"
"UIRET Support","No presente"
"Advanced Vector Extensions 10 (AVX10)","No presente"
"Advanced Performance Extensions (APX) Foundation","No presente"
"Not Exhibiting MXCSR Configuration Dependent Timing (MCDT)","No presente"
"UC-Lock Disable Feature","No presente"
"Thermal Monitor 1:","Soportado, Activado"
"Thermal Monitor 2:","Soportado, Activado"
"Enhanced Intel SpeedStep (GV3):","Soportado, Activado"
"Bi-directional PROCHOT#:","Activado"
"Extended Auto-HALT State C1E:","Activado"
"MLC Streamer Prefetcher","Soportado, Activado"
"MLC Spatial Prefetcher","Soportado, Activado"
"DCU Streamer Prefetcher","Soportado, Activado"
"DCU IP Prefetcher","Soportado, Activado"
"Intel Dynamic Acceleration (IDA) Technology:","No soportado"
"Intel Dynamic FSB Switching:","No soportado"
"Intel Turbo Boost Technology:","Soportado, Activado"
"Programmable Ratio Limits:","Soportado, Deshabilitado"
"Programmable TDC/TDP Limits:","Soportado, Deshabilitado"
"Hardware Duty Cycling:","No soportado"
"Intel Speed Select:","No soportado"
"Internal Graphics:","Soportado"
"ECC:","No soportado"
"VT-d:","Soportado"
"2 DIMMs per Channel:","No soportado"
"X2APIC:","Soportado"
"Dual Channel:","Soportado"
"BCLK Coarse Ratio Support (PCIe Ratio Changing):","No soportado"
"DDR Overclocking:","No soportado"
"Overclocking:","No soportado"
"Overclocking:","Deshabilitado"
"DMI Width:","x4"
"DMI Gen 2 Mode:","Soportado"
"Camarillo Device:","No soportado"
"Display HD Audio:","Soportado"
"DDR3L:","Soportado"
"Tamaño máximo de memoria por canal:","16 GB"
"Soporte de frecuencia DDR3 (RefClk de 100 MHz):","800 MHz (DDR3-1600)"
"Gráficos aditivos:","Soportado"
"Gráficos aditivos:","Activado"
"PCIe Gen 3:","No soportado"
"PCIe x16 Port:","Soportado"
"SOFTBIN:","No soportado"
"VCC VR:","Richtek RT8889, VR12.5"
"VR Thermal Sensor:","No soportado"
"Tamaño máximo de dirección física:","39-bit (512 GBytes)"
"Tamaño máximo de dirección virtual:","48-bit (256 TBytes)"
"Range 0-100000000 (0MB-4096MB) Type:","Write Back (WB)"
"Range 100000000-120000000 (4096MB-4608MB) Type:","Write Back (WB)"
"Range E0000000-100000000 (3584MB-4096MB) Type:","Uncacheable (UC)"
"Range DC000000-E0000000 (3520MB-3584MB) Type:","Uncacheable (UC)"
"Range DB000000-DC000000 (3504MB-3520MB) Type:","Uncacheable (UC)"
"Range 11FE00000-120000000 (4606MB-4608MB) Type:","Uncacheable (UC)"

Tarjeta madre

"Nombre de marca de computadora:","ECS H81H3-M4"
"Modelo de placa base:","ECS H81H3-M4"
"Chipset de la placa base:","Intel H81 (Lynx Point)"
"Ranuras para placa base:","2xPCI, 2xPCI Express x1, 1xPCI Express x16"
"Versión de PCI Express admitida:","v2.0"
"Versión USB admitida:","v3.0"
"PCH PEG/DMI Ratio:","5/5"
"Fabricante de BIOS:","American Megatrends"
"Fecha de BIOS (mm/dd/yyyy):","09/17/2014"
"Versión de BIOS:","4.6.5"
"UEFI BIOS:","Capaz"
"Chip Super-IO / LPC:","ITE IT8772F"
"Chip del módulo de plataforma segura (TPM):","Not Found"

Dispositivos ACPI


Legacy device

"Nombre del dispositivo:","Legacy device"
"Ubicación de la memoria:","FF000000 - FFFFFFFF"
"Ubicación de la memoria:","FF000000 - FFFFFFFF"

Motherboard resources

"Nombre del dispositivo:","Motherboard resources"
"I/O Port:","1854 - 1857"
"I/O Port:","1854 - 1857"

Programmable interrupt controller

"Nombre del dispositivo:","Programmable interrupt controller"
"I/O Port:","0020 - 0021"
"I/O Port:","0030 - 0031"
"I/O Port:","00A0 - 00A1"
"I/O Port:","00B0 - 00B1"
"IRQ:","1114369"
"IRQ:","1114369"
"IRQ:","1114369"
"IRQ:","1114369"
"I/O Port:","0020 - 0021"
"I/O Port:","0024 - 0025"
"I/O Port:","0028 - 0029"
"I/O Port:","002C - 002D"
"I/O Port:","0030 - 0031"
"I/O Port:","0034 - 0035"
"I/O Port:","0038 - 0039"
"I/O Port:","003C - 003D"
"I/O Port:","00A0 - 00A1"
"I/O Port:","00A4 - 00A5"
"I/O Port:","00A8 - 00A9"
"I/O Port:","00AC - 00AD"
"I/O Port:","00B0 - 00B1"
"I/O Port:","00B4 - 00B5"
"I/O Port:","00B8 - 00B9"
"I/O Port:","00BC - 00BD"
"I/O Port:","04D0 - 04D1"

System timer

"Nombre del dispositivo:","System timer"
"I/O Port:","0040 - 0043"
"DMA:","0"
"I/O Port:","0040 - 0043"
"I/O Port:","0050 - 0053"
"IRQ:","0"

High precision event timer

"Nombre del dispositivo:","High precision event timer"
"Ubicación de la memoria:","FED00000 - FED003FF"
"Ubicación de la memoria:","FED00000 - FED003FF"

Direct memory access controller

"Nombre del dispositivo:","Direct memory access controller"
"I/O Port:","0000 - 001F"
"I/O Port:","0000 - 001F"
"I/O Port:","0081 - 0091"
"I/O Port:","0093 - 009F"
"I/O Port:","00C0 - 00DF"
"DMA:","4"

Standard PS/2 Keyboard

"Nombre del dispositivo:","Standard PS/2 Keyboard"
"I/O Port:","0060"
"I/O Port:","0000"
"I/O Port:","0060"
"I/O Port:","0064"
"IRQ:","1"

Puerto de comunicaciones

"Nombre del dispositivo:","Puerto de comunicaciones"
"I/O Port:","03F8 - 03FF"
"I/O Port:","03F8 - 03FF"
"IRQ:","4"
"I/O Port:","03F8 - 03FF"
"IRQ:","3"
"IRQ:","4"
"IRQ:","5"
"IRQ:","6"
"IRQ:","7"
"IRQ:","10"
"IRQ:","11"
"IRQ:","12"
"I/O Port:","02F8 - 02FF"
"IRQ:","3"
"IRQ:","4"
"IRQ:","5"
"IRQ:","6"
"IRQ:","7"
"IRQ:","10"
"IRQ:","11"
"IRQ:","12"
"I/O Port:","03E8 - 03EF"
"IRQ:","3"
"IRQ:","4"
"IRQ:","5"
"IRQ:","6"
"IRQ:","7"
"IRQ:","10"
"IRQ:","11"
"IRQ:","12"
"I/O Port:","02E8 - 02EF"
"IRQ:","3"
"IRQ:","4"
"IRQ:","5"
"IRQ:","6"
"IRQ:","7"
"IRQ:","10"
"IRQ:","11"
"IRQ:","12"

PCI Express Root Complex

"Nombre del dispositivo:","PCI Express Root Complex"
"I/O Port:","0000 - FFFFFFFF"
"Ubicación de la memoria:","000A0000 - 000BFFFF"
"Ubicación de la memoria:","000D4000 - 000D3FFF"
"Ubicación de la memoria:","000DC000 - 000DFFFF"
"I/O Port:","0000 - 0CF7"
"I/O Port:","0D00 - FFFF"
"Ubicación de la memoria:","000A0000 - 000BFFFF"
"Ubicación de la memoria:","000D0000 - 000D3FFF"
"Ubicación de la memoria:","000D4000 - 000D7FFF"
"Ubicación de la memoria:","000D8000"
"Ubicación de la memoria:","000DC000"
"Ubicación de la memoria:","DF200000"

System CMOS/real time clock

"Nombre del dispositivo:","System CMOS/real time clock"
"I/O Port:","0070 - 0077"
"I/O Port:","0070 - 0077"
"IRQ:","8"

System board

"Nombre del dispositivo:","System board"
"Ubicación de la memoria:","FED40000 - FED44FFF"
"Ubicación de la memoria:","FED40000 - FED44FFF"

Motherboard resources

"Nombre del dispositivo:","Motherboard resources"
"Ubicación de la memoria:","FED1C000 - FED1FFFF"
"Ubicación de la memoria:","F8000000 - FBFFFFFF"
"Ubicación de la memoria:","FF000000 - FFFFFFFF"
"Ubicación de la memoria:","FED1C000 - FED1FFFF"
"Ubicación de la memoria:","FED10000 - FED17FFF"
"Ubicación de la memoria:","FED18000 - FED18FFF"
"Ubicación de la memoria:","FED19000"
"Ubicación de la memoria:","F8000000"
"Ubicación de la memoria:","FED20000"
"Ubicación de la memoria:","FED90000"
"Ubicación de la memoria:","FED45000"
"Ubicación de la memoria:","FF000000 - FFFFFFFF"
"Ubicación de la memoria:","FEE00000 - FEEFFFFF"
"Ubicación de la memoria:","F7FDF000 - F7FDFFFF"
"Ubicación de la memoria:","F7FE0000 - F7FEFFFF"

Motherboard resources

"Nombre del dispositivo:","Motherboard resources"
"I/O Port:","0010 - 001F"
"I/O Port:","0065 - 006F"
"I/O Port:","0088"
"Ubicación de la memoria:","00000000 - 0000008F"
"I/O Port:","0010 - 001F"
"I/O Port:","0022 - 003F"
"I/O Port:","0044 - 005F"
"I/O Port:","0062 - 0063"
"I/O Port:","0065 - 006F"
"I/O Port:","0072 - 007F"
"I/O Port:","0080"
"I/O Port:","0084 - 0086"
"I/O Port:","0088"
"I/O Port:","008C - 008E"
"I/O Port:","0090 - 009F"
"I/O Port:","00A2 - 00BF"
"I/O Port:","00E0 - 00EF"
"I/O Port:","04D0 - 04D1"

Motherboard resources

"Nombre del dispositivo:","Motherboard resources"
"I/O Port:","0A00 - 0A1F"
"I/O Port:","0A00 - 0A1F"
"I/O Port:","0A20 - 0A2F"
"I/O Port:","0A30 - 0A3F"

Motherboard resources

"Nombre del dispositivo:","Motherboard resources"
"I/O Port:","002E - 002F"
"I/O Port:","0065"
"I/O Port:","0000 - 006F"
"I/O Port:","0092"
"I/O Port:","FFFF"
"I/O Port:","0000 - 1BFF"
"IRQ:","1114369"
"IRQ:","1114369"
"I/O Port:","002E - 002F"
"I/O Port:","004E - 004F"
"I/O Port:","0061"
"I/O Port:","0063"
"I/O Port:","0065"
"I/O Port:","0067"
"I/O Port:","0070"
"I/O Port:","0080"
"I/O Port:","0092"
"I/O Port:","00B2 - 00B3"
"I/O Port:","0680 - 069F"
"I/O Port:","FFFF"
"I/O Port:","FFFF"
"I/O Port:","FFFF"
"I/O Port:","1C00 - 1CFE"
"I/O Port:","1D00 - 1DFE"
"I/O Port:","1E00 - 1EFE"
"I/O Port:","1F00 - 1FFE"
"I/O Port:","1800 - 18FE"
"I/O Port:","164E - 164F"

Numeric data processor

"Nombre del dispositivo:","Numeric data processor"
"I/O Port:","00F0"
"I/O Port:","00F0"
"IRQ:","13"

Microsoft PS/2 Mouse

"Nombre del dispositivo:","Microsoft PS/2 Mouse"
"IRQ:","12"
"IRQ:","12"

SMBIOS DMI


BIOS

"Fabricante de BIOS:","American Megatrends Inc."
"Versión de BIOS:","4.6.5"
"Fecha de lanzamiento del BIOS (mm/dd/yyyy):","09/17/2014"
"Segmento de inicio de BIOS:","F000"
"Tamaño de la BIOS:","4096 KBytes"
"Versión del BIOS del sistema:","4.6"
"ISA Support:","No presente"
"MCA Support:","No presente"
"EISA Support:","No presente"
"PCI Support:","Presente"
"PC Card (PCMCIA) Support:","No presente"
"Plug-and-Play Support:","No presente"
"APM Support:","No presente"
"Flash BIOS:","Presente"
"BIOS Shadow:","Presente"
"VL-VESA Support:","No presente"
"ESCD Support:","No presente"
"Boot from CD:","Presente"
"Selectable Boot:","Presente"
"BIOS ROM Socketed:","Presente"
"Boot from PC Card:","No presente"
"EDD Support:","Presente"
"NEC PC-98 Support:","No presente"
"ACPI Support:","Presente"
"USB Legacy Support:","Presente"
"AGP Support:","No presente"
"I2O Boot Support:","No presente"
"LS-120 Boot Support:","No presente"
"ATAPI ZIP Drive Boot Support:","No presente"
"IEE1394 Boot Support:","No presente"
"Smart Battery Support:","No presente"
"BIOS Boot Specification Support:","Presente"
"Function key-initiated Network Service Boot Support:","No presente"
"Targeted Content Distribution Support:","Presente"
"UEFI Specification Support:","Presente"
"Virtual Machine:","No presente"

Sistema

"Fabricante del sistema:","ECS"
"Nombre del producto:","H81H3-M4"
"Version del producto:","1.0"
"Número de serie del producto:","00000000"
"SKU Number:","To be filled by O.E.M."
"Family:","To be filled by O.E.M."

tarjeta madre

"Fabricante de la placa base:","ECS"
"Nombre de la placa base:","H81H3-M4"
"Versión de la placa base:","1.0"
"Número de serie de la placa base:","00000000"
"Asset Tag:","To be filled by O.E.M."
"Ubicación en el chasis de la:","To be filled by O.E.M."

Caja del sistema

"Fabricante:","ECS"
"Tipo de caja:","Desktop"
"Versión:","1.0"
"Número de serie:","00000000"
"Asset Tag Number:","To Be Filled By O.E.M."

Dispositivo a bordo

"Descripción del aparato:","   To Be Filled By O.E.M."
"Tipo de dispositivo:","Video Adapter"
"Estado del dispositivo:","Activado"

Cadenas de texto OEM



Opciones de configuración del sistema



Hardware Security

"Power-on Password:","Deshabilitado"
"Keyboard Password:","Deshabilitado"
"Administrator Password:","Deshabilitado"
"Front Panel Reset:","Deshabilitado"

Información de arranque del sistema

"Estado de arranque:","No ocurrió ningún error"

Dispositivo de gestión

"Descripción del aparato:","LM78-1"
"Tipo de dispositivo:","National Semiconductor LM78"
"Device Address:","I/O: 0"

Sonda de voltaje

"Descripción:","LM78A"
"Location:","Desconocido"
"Status:","Desconocido"
"Maximum Value:","Unknown"
"Minimum Value:","Unknown"
"Resolution:","Unknown"
"Tolerance:","Unknown"
"Accuracy:","Unknown"

Management Device Threshold Data


Componente de dispositivo de gestión


Probeta de temperatura

"Descripción:","LM78A"
"Location:","Unknown"
"Status:","Unknown"
"Maximum Value:","Unknown"
"Minimum Value:","Unknown"
"Nominal Value:","Unknown"
"Resolution:","Unknown"
"Tolerance:","Unknown"
"Accuracy:","Unknown"

Management Device Threshold Data


Componente de dispositivo de gestión


Dispositivo de enfriamiento

"Escribe:","Unknown"
"Descripción:","Cooling Dev 1"
"Status:","Unknown"

Management Device Threshold Data


Componente de dispositivo de gestión


Dispositivo de enfriamiento

"Escribe:","Unknown"
"Descripción:",""
"Status:","Unknown"

Management Device Threshold Data


Componente de dispositivo de gestión


Sonda de corriente eléctrica

"Descripción:","ABC"
"Location:","Desconocido"
"Status:","Desconocido"
"Maximum Value:","Unknown"
"Minimum Value:","Unknown"
"Resolution:","Unknown"
"Tolerance:","Unknown"
"Accuracy:","Unknown"

Management Device Threshold Data


Componente de dispositivo de gestión


Sonda de voltaje

"Descripción:","LM78A"
"Location:","Consumo de energía Unit"
"Status:","OK"
"Maximum Value:","Unknown"
"Minimum Value:","Unknown"
"Resolution:","Unknown"
"Tolerance:","Unknown"
"Accuracy:","Unknown"

Probeta de temperatura

"Descripción:","LM78A"
"Location:","Power Unit"
"Status:","OK"
"Maximum Value:","Unknown"
"Minimum Value:","OK"
"Nominal Value:","OK"
"Resolution:","OK"
"Tolerance:","OK"
"Accuracy:","Unknown"

Dispositivo de enfriamiento

"Escribe:","Power Supply Fan"
"Descripción:","Cooling Dev 1"
"Status:","OK"

Sonda de corriente eléctrica

"Descripción:","ABC"
"Location:","Consumo de energía Unit"
"Status:","OK"
"Maximum Value:","Unknown"
"Minimum Value:","Unknown"
"Resolution:","Unknown"
"Tolerance:","Unknown"
"Accuracy:","Unknown"

Fuente de alimentación del sistema

"Location:","To Be Filled By O.E.M."
"Nombre del dispositivo:","To Be Filled By O.E.M."
"Fabricante:","To Be Filled By O.E.M."
"Número de serie:","To Be Filled By O.E.M."
"Asset Tag Number:","To Be Filled By O.E.M."
"Model Part Number:","To Be Filled By O.E.M."
"Revision Level:","To Be Filled By O.E.M."
"Power Supply Status:","Presente"
"Power Supply Type:","Switching"
"Estado de energía:","OK"
"Hot replaceable:","No"
"Unplugged from wall:","No"

Dispositivo a bordo

"Descripción del aparato:"," Onboard IGD"
"Tipo de dispositivo:","Video Adapter"
"Estado del dispositivo:","Activado"

Dispositivo a bordo

"Descripción del aparato:"," Onboard LAN"
"Tipo de dispositivo:","Ethernet Adapter"
"Estado del dispositivo:","Activado"

Dispositivo a bordo

"Descripción del aparato:"," Onboard 1394"
"Tipo de dispositivo:","Unknown"
"Estado del dispositivo:","Activado"

Procesador

"Fabricante del procesador:","Intel"
"Processor Version:","Intel(R) Core(TM) i5-4460 CPU @ 3.20GHz"
"Frecuencia externa:","100 MHz"
"Frecuencia máxima admitida:","3800 MHz"
"Frecuencia actual:","3200 MHz"
"Zócalo de CPU:","Poblada"
"Estado de la CPU:","Activado"
